Episode,Reward,Length,Success,Collisions,Fires
1,-20.000000000000014,200,0,0,0
2,-7.39999999999997,148,0,3,0
3,-14.799999999999999,49,0,0,1
4,-20.000000000000014,200,0,0,0
5,-20.000000000000014,200,0,0,0
6,-20.000000000000014,200,0,0,0
7,-14.2,34,0,1,1
8,-10.999999999999986,184,0,3,0
9,-20.90000000000003,200,0,1,0
10,-20.000000000000014,200,0,0,0
11,-17.89999999999999,71,0,1,1
12,-23.600000000000076,200,0,4,0
13,-18.19999999999999,74,0,1,1
14,-8.499999999999996,177,0,1,0
15,-20.000000000000014,200,0,0,0
16,-20.000000000000014,200,0,0,0
17,-16.299999999999997,46,0,2,1
18,-20.000000000000014,200,0,0,0
19,-20.000000000000014,200,0,0,0
20,-20.000000000000014,200,0,0,0
21,-20.000000000000014,200,0,0,0
22,-18.499999999999986,86,0,0,1
23,-20.000000000000014,200,0,0,0
24,-21.80000000000001,200,0,2,0
25,-20.000000000000014,200,0,0,0
26,-20.000000000000014,200,0,0,0
27,-21.800000000000047,200,0,2,0
28,-20.000000000000014,200,0,0,0
29,-0.699999999999978,108,0,0,0
30,2.3000000000000114,78,1,0,0
31,-1.3999999999999826,97,0,2,0
32,-20.000000000000014,200,0,0,0
33,-20.000000000000014,200,0,0,0
34,2.6000000000000068,66,1,1,0
35,-18.39999999999999,58,0,3,1
36,-20.000000000000014,200,0,0,0
37,-20.000000000000014,200,0,0,0
38,-20.000000000000014,200,0,0,0
39,-20.000000000000014,200,0,0,0
40,-20.000000000000014,200,0,0,0
41,-21.80000000000001,200,0,2,0
42,-26.19999999999996,163,0,0,1
43,6.299999999999998,38,1,0,0
44,-20.000000000000014,200,0,0,0
45,-19.69999999999998,98,0,0,1
46,-20.000000000000014,200,0,0,0
47,0.7000000000000135,85,1,1,0
48,-23.60000000000004,200,0,4,0
49,-25.4000000000001,200,0,6,0
50,-20.000000000000014,200,0,0,0
51,-20.000000000000014,200,0,0,0
52,-0.5999999999999819,98,0,1,0
53,-22.899999999999984,94,0,4,1
54,-20.000000000000014,200,0,0,0
55,-16.599999999999994,67,0,0,1
56,-20.000000000000014,200,0,0,0
57,-26.79999999999997,169,0,0,1
58,-9.499999999999979,142,0,6,0
59,-7.6999999999999815,178,0,0,0
60,-20.000000000000014,200,0,0,0
61,-20.000000000000014,200,0,0,0
62,2.6000000000000103,75,1,0,0
63,-17.899999999999988,80,0,0,1
64,-23.600000000000062,200,0,4,0
65,5.000000000000002,51,1,0,0
66,-17.199999999999996,64,0,1,1
67,-4.699999999999964,148,0,0,0
68,-20.000000000000014,200,0,0,0
69,-20.90000000000003,200,0,1,0
70,-2.7999999999999705,129,0,0,0
71,-24.099999999999966,142,0,0,1
72,-20.000000000000014,200,0,0,0
73,-16.699999999999996,41,0,3,1
74,-20.000000000000014,200,0,0,0
75,-20.000000000000014,200,0,0,0
76,-21.699999999999974,118,0,0,1
77,-21.800000000000047,200,0,2,0
78,-20.000000000000014,200,0,0,0
79,-20.000000000000014,200,0,0,0
80,-18.399999999999984,85,0,0,1
81,-18.299999999999986,84,0,0,1
82,-13.200000000000001,33,0,0,1
83,-20.90000000000003,200,0,1,0
84,-20.900000000000013,200,0,1,0
85,-18.699999999999996,61,0,3,1
86,-6.199999999999974,127,0,4,0
87,-28.599999999999994,187,0,0,1
88,-2.099999999999973,122,0,0,0
89,-20.90000000000003,200,0,1,0
90,-5.899999999999979,88,0,8,0
91,-20.000000000000014,200,0,0,0
92,-22.700000000000028,200,0,3,0
93,-20.000000000000014,200,0,0,0
94,-20.000000000000014,200,0,0,0
95,-5.599999999999961,157,0,0,0
96,-20.000000000000014,200,0,0,0
97,-4.299999999999969,135,0,1,0
98,-15.799999999999997,50,0,1,1
99,-20.000000000000014,200,0,0,0
100,-20.000000000000014,200,0,0,0
101,-20.000000000000014,200,0,0,0
102,-20.000000000000014,200,0,0,0
103,-25.59999999999996,157,0,0,1
104,-8.29999999999999,184,0,0,0
105,-20.90000000000003,200,0,1,0
106,-20.19999999999999,85,0,2,1
107,-20.000000000000014,200,0,0,0
108,-6.499999999999975,121,0,5,0
109,-20.000000000000014,200,0,0,0
110,-20.000000000000014,200,0,0,0
111,-5.299999999999962,154,0,0,0
112,-21.499999999999982,98,0,2,1
113,-20.000000000000014,200,0,0,0
114,-20.000000000000014,200,0,0,0
115,-20.000000000000014,200,0,0,0
116,-34.8,168,0,9,1
117,6.899999999999999,32,1,0,0
118,-16.499999999999996,57,0,1,1
119,-10.100000000000016,193,0,1,0
120,0.6000000000000174,86,1,1,0
121,-21.80000000000004,200,0,2,0
122,-21.49999999999998,89,0,3,1
123,-17.29999999999999,74,0,0,1
124,-20.000000000000014,200,0,0,0
125,-16.199999999999996,63,0,0,1
126,-20.000000000000014,200,0,0,0
127,-3.89999999999997,131,0,1,0
128,-20.000000000000014,200,0,0,0
129,-20.000000000000014,200,0,0,0
130,-1.4999999999999751,116,0,0,0
131,-17.599999999999994,68,0,1,1
132,-6.399999999999967,147,0,2,0
133,-6.099999999999959,162,0,0,0
134,-4.899999999999963,150,0,0,0
135,-20.000000000000014,200,0,0,0
136,-20.90000000000003,200,0,1,0
137,-14.799999999999999,49,0,0,1
138,-14.3,35,0,1,1
139,4.8000000000000025,53,1,0,0
140,-4.299999999999965,144,0,0,0
141,-21.800000000000047,200,0,2,0
142,-4.799999999999979,104,0,5,0
143,-7.799999999999983,179,0,0,0
144,-16.4,38,0,3,1
145,-20.000000000000014,200,0,0,0
146,-23.299999999999986,89,0,5,1
147,-20.000000000000014,200,0,0,0
148,6.599999999999998,35,1,0,0
149,4.000000000000005,61,1,0,0
150,-23.89999999999997,122,0,2,1
151,-20.000000000000014,200,0,0,0
152,-23.699999999999967,138,0,0,1
153,-20.000000000000014,200,0,0,0
154,0.3000000000000185,98,1,0,0
155,-20.90000000000003,200,0,1,0
156,-20.000000000000014,200,0,0,0
