Episode,Reward,Length,Success,Collisions,Fires
1,-23.60000000000007,200,0,4,0
2,-23.60000000000004,200,0,4,0
3,-15.999999999999995,52,0,1,1
4,-20.000000000000014,200,0,0,0
5,-17.299999999999994,65,0,1,1
6,-20.000000000000014,200,0,0,0
7,-21.80000000000001,200,0,2,0
8,-16.39999999999999,65,0,0,1
9,-20.000000000000014,200,0,0,0
10,-20.000000000000014,200,0,0,0
11,-20.000000000000014,200,0,0,0
12,-20.90000000000003,200,0,1,0
13,-20.000000000000014,200,0,0,0
14,-23.60000000000008,200,0,4,0
15,-7.299999999999962,165,0,1,0
16,1.9000000000000057,64,1,2,0
17,-20.000000000000014,200,0,0,0
18,2.8000000000000096,73,1,0,0
19,4.900000000000002,52,1,0,0
20,-20.59999999999998,107,0,0,1
21,-20.000000000000014,200,0,0,0
22,-13.600000000000001,28,0,1,1
23,-20.000000000000014,200,0,0,0
24,-27.79999999999996,161,0,2,1
25,-16.999999999999993,62,0,1,1
26,-20.000000000000014,200,0,0,0
27,-23.999999999999964,141,0,0,1
28,-20.90000000000003,200,0,1,0
29,-29.300000000000004,194,0,0,1
30,-20.000000000000014,200,0,0,0
31,-20.000000000000014,200,0,0,0
32,2.800000000000006,64,1,1,0
33,-20.000000000000014,200,0,0,0
34,-24.79999999999996,140,0,1,1
35,-20.000000000000014,200,0,0,0
36,-20.000000000000014,200,0,0,0
37,-18.89999999999999,63,0,3,1
38,-20.000000000000014,200,0,0,0
39,5.100000000000001,50,1,0,0
40,5.000000000000002,51,1,0,0
41,-19.79999999999999,81,0,2,1
42,-28.199999999999992,165,0,2,1
43,-21.299999999999986,87,0,3,1
44,-20.000000000000014,200,0,0,0
45,-20.000000000000014,200,0,0,0
46,-14.799999999999999,49,0,0,1
47,-17.39999999999999,75,0,0,1
48,-15.500000000000107,175,0,9,0
49,-29.499999999999986,178,0,2,1
50,-6.399999999999963,165,0,0,0
51,-18.999999999999986,91,0,0,1
52,-20.000000000000014,200,0,0,0
53,-5.999999999999959,161,0,0,0
54,-20.90000000000003,200,0,1,0
55,-20.000000000000014,200,0,0,0
56,-20.000000000000014,200,0,0,0
57,-20.000000000000014,200,0,0,0
58,-33.599999999999994,192,0,5,1
59,-20.000000000000014,200,0,0,0
60,-22.599999999999973,127,0,0,1
61,-12.900000000000002,30,0,0,1
62,-20.000000000000014,200,0,0,0
63,-20.000000000000014,200,0,0,0
64,-20.000000000000014,200,0,0,0
65,-12.8,29,0,0,1
66,-25.400000000000023,200,0,6,0
67,-3.499999999999968,136,0,0,0
68,-9.599999999999994,188,0,1,0
69,-17.599999999999994,68,0,1,1
70,-23.60000000000008,200,0,4,0
71,-20.90000000000003,200,0,1,0
72,-20.000000000000014,200,0,0,0
73,-20.000000000000014,200,0,0,0
74,-20.90000000000003,200,0,1,0
75,-18.39999999999999,67,0,2,1
76,-20.000000000000014,200,0,0,0
77,-20.000000000000014,200,0,0,0
78,-20.900000000000027,200,0,1,0
79,-17.79999999999999,79,0,0,1
80,-29.500000000000007,196,0,0,1
81,0.9000000000000128,83,1,1,0
82,-23.600000000000062,200,0,4,0
83,-14.000000000000002,41,0,0,1
84,-26.30000000000013,200,0,7,0
85,-20.900000000000013,200,0,1,0
86,-20.000000000000014,200,0,0,0
87,-19.99999999999998,101,0,0,1
88,-20.000000000000014,200,0,0,0
89,-3.399999999999972,126,0,1,0
90,-16.099999999999994,62,0,0,1
91,-20.000000000000014,200,0,0,0
92,-11.8,19,0,0,1
93,-15.6,39,0,2,1
94,-24.50000000000002,200,0,5,0
95,-20.000000000000014,200,0,0,0
96,-20.90000000000003,200,0,1,0
97,-22.70000000000001,200,0,3,0
98,-22.39999999999997,125,0,0,1
99,-2.7999999999999883,84,0,5,0
100,-20.000000000000014,200,0,0,0
101,-21.299999999999976,114,0,0,1
102,-20.000000000000014,200,0,0,0
103,-18.599999999999987,78,0,1,1
104,-30.799999999999997,191,0,2,1
105,-20.90000000000003,200,0,1,0
106,-15.799999999999995,50,0,1,1
107,-5.599999999999961,157,0,0,0
108,-22.49999999999999,81,0,5,1
109,-20.90000000000003,200,0,1,0
110,-1.4999999999999751,116,0,0,0
111,-20.000000000000014,200,0,0,0
112,-20.000000000000014,200,0,0,0
113,-24.09999999999997,133,0,1,1
114,-22.70000000000001,200,0,3,0
115,-3.0999999999999694,132,0,0,0
116,-24.59999999999998,111,0,4,1
117,-20.000000000000014,200,0,0,0
118,-18.799999999999997,62,0,3,1
119,-25.199999999999974,126,0,3,1
120,-27.099999999999984,100,0,8,1
121,-20.000000000000014,200,0,0,0
122,-20.000000000000014,200,0,0,0
123,-20.000000000000014,200,0,0,0
124,-20.000000000000014,200,0,0,0
125,-20.000000000000014,200,0,0,0
126,-26.799999999999994,88,0,9,1
127,0.3000000000000185,98,1,0,0
128,-22.70000000000006,200,0,3,0
129,-24.899999999999967,141,0,1,1
130,-13.900000000000002,31,0,1,1
131,-18.7,52,0,4,1
132,-24.499999999999968,137,0,1,1
133,-9.099999999999987,183,0,1,0
134,3.9000000000000057,62,1,0,0
135,-1.7999999999999812,101,0,2,0
136,-20.000000000000014,200,0,0,0
137,-38.100000000000115,192,0,10,1
138,-20.000000000000014,200,0,0,0
139,-20.000000000000014,200,0,0,0
140,-25.29999999999996,154,0,0,1
141,-20.000000000000014,200,0,0,0
142,-20.000000000000014,200,0,0,0
143,-14.200000000000001,43,0,0,1
144,-28.299999999999994,175,0,1,1
145,-20.000000000000014,200,0,0,0
146,-25.40000000000011,200,0,6,0
147,-1.7999999999999776,110,0,1,0
148,-20.000000000000014,200,0,0,0
149,-20.000000000000014,200,0,0,0
150,-20.900000000000027,200,0,1,0
151,-22.79999999999997,129,0,0,1
152,-20.000000000000014,200,0,0,0
153,-24.399999999999963,145,0,0,1
154,3.100000000000005,61,1,1,0
155,-20.90000000000003,200,0,1,0
156,1.4000000000000146,87,1,0,0
157,-20.000000000000014,200,0,0,0
158,-31.900000000000006,157,0,7,1
159,-20.000000000000014,200,0,0,0
160,-21.800000000000043,200,0,2,0
161,-24.500000000000096,200,0,5,0
162,-2.6999999999999744,119,0,1,0
163,-20.000000000000014,200,0,0,0
164,-11.60000000000003,190,0,3,0
165,-11.600000000000009,199,0,2,0
166,-20.90000000000003,200,0,1,0
167,-15.200000000000081,154,0,11,0
168,-20.000000000000014,200,0,0,0
169,-20.900000000000013,200,0,1,0
170,-1.0999999999999872,85,0,3,0
171,-18.299999999999994,66,0,2,1
172,-13.200000000000001,33,0,0,1
173,-17.899999999999995,62,0,2,1
174,-21.800000000000043,200,0,2,0
175,-18.099999999999987,82,0,0,1
176,-20.399999999999977,105,0,0,1
177,-20.900000000000027,200,0,1,0
178,-20.000000000000014,200,0,0,0
179,-5.399999999999965,146,0,1,0
180,-8.29999999999998,166,0,2,0
181,-19.999999999999986,74,0,3,1
182,-20.999999999999982,93,0,2,1
183,-5.499999999999972,129,0,3,0
184,-20.000000000000014,200,0,0,0
185,-12.900000000000002,30,0,0,1
186,1.8000000000000096,74,1,1,0
187,-20.90000000000003,200,0,1,0
188,-20.000000000000014,200,0,0,0
189,3.7000000000000064,64,1,0,0
190,3.300000000000008,68,1,0,0
191,-21.800000000000047,200,0,2,0
192,-24.699999999999967,139,0,1,1
193,-33.49999999999999,191,0,5,1
194,-20.000000000000014,200,0,0,0
195,-20.000000000000014,200,0,0,0
196,-14.999999999999998,51,0,0,1
197,-16.299999999999997,55,0,1,1
198,-5.599999999999961,157,0,0,0
199,-8.099999999999973,173,0,1,0
200,-6.19999999999996,163,0,0,0
201,-21.49999999999998,107,0,1,1
202,-7.999999999999986,181,0,0,0
203,-20.90000000000003,200,0,1,0
204,-15.3,45,0,1,1
205,-20.000000000000014,200,0,0,0
206,5.000000000000002,51,1,0,0
207,0.10000000000000853,73,1,3,0
208,2.9000000000000057,63,1,1,0
209,-24.500000000000085,200,0,5,0
210,-20.000000000000014,200,0,0,0
211,-4.1999999999999655,143,0,0,0
212,3.1000000000000085,70,1,0,0
213,-13.100000000000001,32,0,0,1
214,3.300000000000008,68,1,0,0
215,4.400000000000004,57,1,0,0
216,-20.000000000000014,200,0,0,0
217,-24.499999999999982,101,0,5,1
218,-12.3,24,0,0,1
219,-24.500000000000092,200,0,5,0
220,-21.999999999999986,85,0,4,1
221,-17.999999999999993,63,0,2,1
