Episode,Reward,Length,Success,Collisions,Fires
1,-20.000000000000014,200,0,0,0
2,-21.800000000000047,200,0,2,0
3,-25.099999999999962,152,0,0,1
4,-6.999999999999975,162,0,1,0
5,-17.599999999999987,77,0,0,1
6,-20.000000000000014,200,0,0,0
7,-20.000000000000014,200,0,0,0
8,-20.000000000000014,200,0,0,0
9,0.9000000000000163,92,1,0,0
10,-20.000000000000014,200,0,0,0
11,3.2000000000000046,60,1,1,0
12,-20.900000000000027,200,0,1,0
13,-22.700000000000045,200,0,3,0
14,-20.90000000000003,200,0,1,0
15,-20.000000000000014,200,0,0,0
16,-20.000000000000014,200,0,0,0
17,-14.5,37,0,1,1
18,-8.099999999999987,182,0,0,0
19,-20.000000000000014,200,0,0,0
20,-20.000000000000014,200,0,0,0
21,-2.2999999999999723,124,0,0,0
22,-20.000000000000014,200,0,0,0
23,-20.000000000000014,200,0,0,0
24,-15.599999999999996,57,0,0,1
25,-20.000000000000014,200,0,0,0
26,-20.000000000000014,200,0,0,0
27,-20.000000000000014,200,0,0,0
28,-20.90000000000003,200,0,1,0
29,-14.7,39,0,1,1
30,-20.000000000000014,200,0,0,0
31,-20.000000000000014,200,0,0,0
32,-25.400000000000095,200,0,6,0
33,-20.000000000000014,200,0,0,0
34,-20.59999999999998,107,0,0,1
35,1.6000000000000103,76,1,1,0
36,6.299999999999998,38,1,0,0
37,-15.5,47,0,1,1
38,-20.000000000000014,200,0,0,0
39,-5.599999999999964,148,0,1,0
40,-20.000000000000014,200,0,0,0
41,-14.5,28,0,2,1
42,-18.09999999999999,64,0,2,1
43,-20.90000000000003,200,0,1,0
44,-20.000000000000014,200,0,0,0
45,-20.000000000000014,200,0,0,0
46,-20.90000000000003,200,0,1,0
47,-1.5999999999999783,108,0,1,0
48,-20.000000000000014,200,0,0,0
49,4.600000000000003,55,1,0,0
50,-20.000000000000014,200,0,0,0
51,-20.000000000000014,200,0,0,0
52,-20.000000000000014,200,0,0,0
53,-22.70000000000005,200,0,3,0
54,-18.499999999999986,86,0,0,1
55,-16.199999999999996,63,0,0,1
56,-24.999999999999964,151,0,0,1
57,-20.000000000000014,200,0,0,0
58,-20.000000000000014,200,0,0,0
59,-20.000000000000014,200,0,0,0
60,-20.90000000000003,200,0,1,0
61,-8.099999999999973,173,0,1,0
62,-24.099999999999966,142,0,0,1
63,-17.89999999999999,71,0,1,1
64,-20.000000000000014,200,0,0,0
65,-20.000000000000014,200,0,0,0
66,-20.000000000000014,200,0,0,0
67,-20.900000000000013,200,0,1,0
68,-20.000000000000014,200,0,0,0
69,-16.199999999999996,63,0,0,1
70,-16.999999999999993,62,0,1,1
71,-20.000000000000014,200,0,0,0
72,-20.000000000000014,200,0,0,0
73,-14.6,47,0,0,1
74,-25.69999999999996,158,0,0,1
75,6.899999999999999,32,1,0,0
76,-20.000000000000014,200,0,0,0
77,-20.000000000000014,200,0,0,0
78,-20.39999999999999,69,0,4,1
79,-21.80000000000001,200,0,2,0
80,-8.89999999999997,172,0,2,0
81,4.5000000000000036,56,1,0,0
82,-25.999999999999957,161,0,0,1
83,-20.000000000000014,200,0,0,0
84,-20.000000000000014,200,0,0,0
85,-20.000000000000014,200,0,0,0
86,-20.000000000000014,200,0,0,0
87,-31.599999999999987,163,0,6,1
88,-23.60000000000008,200,0,4,0
89,-22.599999999999973,127,0,0,1
90,-29.0,191,0,0,1
91,-22.49999999999997,126,0,0,1
92,-20.000000000000014,200,0,0,0
93,-17.499999999999993,40,0,4,1
94,-20.000000000000014,200,0,0,0
95,-20.000000000000014,200,0,0,0
96,-17.099999999999994,63,0,1,1
97,-22.70000000000006,200,0,3,0
98,-20.900000000000027,200,0,1,0
99,-20.000000000000014,200,0,0,0
100,-20.000000000000014,200,0,0,0
101,-25.599999999999973,121,0,4,1
102,-20.000000000000014,200,0,0,0
103,-20.000000000000014,200,0,0,0
104,-20.000000000000014,200,0,0,0
105,-0.7999999999999776,109,0,0,0
106,-20.000000000000014,200,0,0,0
107,-23.60000000000008,200,0,4,0
108,-20.000000000000014,200,0,0,0
109,-9.300000000000004,194,0,0,0
110,-20.000000000000014,200,0,0,0
111,-20.000000000000014,200,0,0,0
112,-20.000000000000014,200,0,0,0
113,-20.000000000000014,200,0,0,0
114,-0.8999999999999773,110,0,0,0
115,-12.100000000000051,159,0,7,0
116,-20.000000000000014,200,0,0,0
117,-24.599999999999973,120,0,3,1
118,0.3000000000000185,98,1,0,0
119,-20.000000000000014,200,0,0,0
120,0.5000000000000178,96,1,0,0
121,-20.000000000000014,200,0,0,0
122,-20.000000000000014,200,0,0,0
123,-20.000000000000014,200,0,0,0
124,-22.99999999999997,122,0,1,1
125,-20.000000000000014,200,0,0,0
126,-22.700000000000063,200,0,3,0
127,-21.800000000000043,200,0,2,0
128,-2.4999999999999716,126,0,0,0
129,-20.000000000000014,200,0,0,0
130,-20.90000000000003,200,0,1,0
131,2.3000000000000114,78,1,0,0
132,-20.900000000000013,200,0,1,0
133,-12.8,29,0,0,1
134,-19.399999999999984,95,0,0,1
135,-20.000000000000014,200,0,0,0
136,-20.000000000000014,200,0,0,0
137,-20.000000000000014,200,0,0,0
138,-20.000000000000014,200,0,0,0
139,-20.000000000000014,200,0,0,0
140,-14.6,47,0,0,1
141,-27.199999999999996,119,0,6,1
142,-20.90000000000003,200,0,1,0
143,-4.399999999999972,127,0,2,0
144,-2.99999999999997,131,0,0,0
145,-20.000000000000014,200,0,0,0
146,-20.90000000000003,200,0,1,0
147,-11.700000000000001,18,0,0,1
148,-20.000000000000014,200,0,0,0
149,-20.000000000000014,200,0,0,0
150,-20.000000000000014,200,0,0,0
151,-20.000000000000014,200,0,0,0
152,1.3000000000000043,61,1,3,0
153,-30.599999999999994,189,0,2,1
154,-21.80000000000001,200,0,2,0
155,-20.900000000000013,200,0,1,0
156,-26.300000000000125,200,0,7,0
157,-20.90000000000003,200,0,1,0
158,-13.3,25,0,1,1
