Episode,Reward,Length,Success,Collisions,Fires
1,-7.799999999999969,161,0,2,0
2,-21.80000000000001,200,0,2,0
3,-20.000000000000014,200,0,0,0
4,-17.699999999999992,69,0,1,1
5,-20.90000000000003,200,0,1,0
6,-20.90000000000003,200,0,1,0
7,-20.000000000000014,200,0,0,0
8,-17.39999999999999,75,0,0,1
9,-20.000000000000014,200,0,0,0
10,-20.000000000000014,200,0,0,0
11,-29.900000000000013,200,0,0,1
12,-20.000000000000014,200,0,0,0
13,3.500000000000007,66,1,0,0
14,-3.0999999999999694,132,0,0,0
15,-21.799999999999976,119,0,0,1
16,-20.90000000000003,200,0,1,0
17,-14.3,44,0,0,1
18,-23.600000000000044,200,0,4,0
19,-20.000000000000014,200,0,0,0
20,-5.7999999999999705,132,0,3,0
21,4.6,46,1,1,0
22,-20.000000000000014,200,0,0,0
23,-22.700000000000063,200,0,3,0
24,-20.000000000000014,200,0,0,0
25,-24.899999999999963,150,0,0,1
26,-20.000000000000014,200,0,0,0
27,-23.600000000000076,200,0,4,0
28,-14.899999999999999,50,0,0,1
29,2.0000000000000124,81,1,0,0
30,-17.79999999999999,79,0,0,1
31,-20.900000000000013,200,0,1,0
32,-20.900000000000027,200,0,1,0
33,-20.000000000000014,200,0,0,0
34,-20.000000000000014,200,0,0,0
35,-20.000000000000014,200,0,0,0
36,-14.799999999999999,40,0,1,1
37,-17.19999999999999,73,0,0,1
38,5.399999999999999,38,1,1,0
39,-23.89999999999999,68,0,8,1
40,-20.000000000000014,200,0,0,0
41,-20.000000000000014,200,0,0,0
42,-1.1999999999999833,95,0,2,0
43,-22.700000000000063,200,0,3,0
44,-20.000000000000014,200,0,0,0
45,-16.499999999999996,48,0,2,1
46,-20.000000000000014,200,0,0,0
47,-1.8999999999999737,120,0,0,0
48,-14.8,40,0,1,1
49,-20.000000000000014,200,0,0,0
50,-17.2,37,0,4,1
51,-1.6999999999999744,118,0,0,0
52,-13.50000000000006,200,0,4,0
53,2.9000000000000092,72,1,0,0
54,-29.000000000000103,200,0,10,0
55,-20.000000000000014,200,0,0,0
56,-25.400000000000038,200,0,6,0
57,-20.000000000000014,200,0,0,0
58,-20.399999999999977,105,0,0,1
59,4.6000000000000005,37,1,2,0
60,-18.499999999999996,50,0,4,1
61,-20.000000000000014,200,0,0,0
62,-11.2,13,0,0,1
63,-20.000000000000014,200,0,0,0
64,-20.000000000000014,200,0,0,0
65,-16.399999999999977,184,0,9,0
66,-1.8999999999999808,102,0,2,0
67,-20.000000000000014,200,0,0,0
68,-7.299999999999976,174,0,0,0
69,-20.000000000000014,200,0,0,0
70,-20.000000000000014,200,0,0,0
71,-13.200000000000001,33,0,0,1
72,3.800000000000006,63,1,0,0
73,-20.89999999999998,92,0,2,1
74,-20.900000000000013,200,0,1,0
75,-27.299999999999976,174,0,0,1
76,-20.000000000000014,200,0,0,0
77,-4.599999999999964,147,0,0,0
78,-28.099999999999973,173,0,1,1
79,-11.500000000000043,198,0,2,0
