Episode,Reward,Length,Success,Collisions,Fires
1,-20.000000000000014,200,0,0,0
2,-7.6999999999999815,178,0,0,0
3,-20.000000000000014,200,0,0,0
4,-20.000000000000014,200,0,0,0
5,-20.000000000000014,200,0,0,0
6,-13.900000000000002,40,0,0,1
7,-20.000000000000014,200,0,0,0
8,-21.800000000000043,200,0,2,0
9,-20.000000000000014,200,0,0,0
10,-12.5,26,0,0,1
11,-12.600000000000062,182,0,5,0
12,-20.000000000000014,200,0,0,0
13,6.499999999999998,36,1,0,0
14,-21.800000000000047,200,0,2,0
15,-20.000000000000014,200,0,0,0
16,-20.000000000000014,200,0,0,0
17,-18.699999999999996,61,0,3,1
18,-24.19999999999998,107,0,4,1
19,-23.49999999999999,73,0,7,1
20,-20.000000000000014,200,0,0,0
21,-20.000000000000014,200,0,0,0
22,-20.000000000000014,200,0,0,0
23,-20.000000000000014,200,0,0,0
24,-20.000000000000014,200,0,0,0
25,-16.599999999999994,67,0,0,1
26,-17.09999999999999,72,0,0,1
27,-9.500000000000007,196,0,0,0
28,-20.000000000000014,200,0,0,0
29,-21.800000000000047,200,0,2,0
30,-20.000000000000014,200,0,0,0
31,-20.000000000000014,200,0,0,0
32,-20.90000000000003,200,0,1,0
33,-20.000000000000014,200,0,0,0
34,-20.000000000000014,200,0,0,0
35,5.799999999999999,43,1,0,0
36,-20.000000000000014,200,0,0,0
37,-20.000000000000014,200,0,0,0
38,-20.000000000000014,200,0,0,0
39,-5.8999999999999595,160,0,0,0
40,-27.099999999999973,172,0,0,1
41,-20.000000000000014,200,0,0,0
42,-17.499999999999993,58,0,2,1
43,-28.19999999999999,183,0,0,1
44,-20.000000000000014,200,0,0,0
45,-20.000000000000014,200,0,0,0
46,-22.49999999999997,126,0,0,1
47,-20.900000000000013,200,0,1,0
48,-20.000000000000014,200,0,0,0
49,-21.800000000000047,200,0,2,0
50,-18.199999999999996,65,0,2,1
51,-26.399999999999967,156,0,1,1
52,-8.29999999999999,184,0,0,0
53,-20.000000000000014,200,0,0,0
54,-20.000000000000014,200,0,0,0
55,-2.099999999999973,122,0,0,0
56,-20.000000000000014,200,0,0,0
57,-20.000000000000014,200,0,0,0
