Episode,Reward,Length,Success,Collisions,Fires,Label
1,-20.000000000000014,200,0,0,0,A-base
2,-28.399999999999977,176,0,1,1,A-base
3,-20.90000000000003,200,0,1,0,A-base
4,-20.000000000000014,200,0,0,0,A-base
5,-20.000000000000014,200,0,0,0,A-base
6,-21.800000000000043,200,0,2,0,A-base
7,-2.89999999999997,130,0,0,0,A-base
8,-20.000000000000014,200,0,0,0,A-base
9,-21.80000000000001,200,0,2,0,A-base
10,-3.799999999999967,139,0,0,0,A-base
11,-20.000000000000014,200,0,0,0,A-base
12,-20.000000000000014,200,0,0,0,A-base
13,2.9000000000000092,72,1,0,0,A-base
14,-20.000000000000014,200,0,0,0,A-base
15,-22.599999999999973,127,0,0,1,A-base
16,-13.200000000000035,161,0,8,0,A-base
17,-20.000000000000014,200,0,0,0,A-base
18,-20.000000000000014,200,0,0,0,A-base
19,-21.800000000000047,200,0,2,0,A-base
20,3.8000000000000025,54,1,1,0,A-base
21,-20.90000000000003,200,0,1,0,A-base
22,-20.900000000000013,200,0,1,0,A-base
23,0.3000000000000149,89,1,1,0,A-base
24,-24.099999999999966,142,0,0,1,A-base
25,4.8000000000000025,53,1,0,0,A-base
26,-28.100000000000094,200,0,9,0,A-base
27,-9.300000000000004,194,0,0,0,A-base
28,-19.99999999999998,101,0,0,1,A-base
29,-20.299999999999983,95,0,1,1,A-base
30,-20.000000000000014,200,0,0,0,A-base
31,-20.000000000000014,200,0,0,0,A-base
32,-20.899999999999988,83,0,3,1,A-base
33,-20.000000000000014,200,0,0,0,A-base
34,-20.000000000000014,200,0,0,0,A-base
35,-20.000000000000014,200,0,0,0,A-base
36,-18.79999999999999,53,0,4,1,A-base
37,-20.000000000000014,200,0,0,0,A-base
38,-21.800000000000047,200,0,2,0,A-base
39,-25.400000000000045,200,0,6,0,A-base
40,-16.9,43,0,3,1,A-base
41,-7.699999999999967,169,0,1,0,A-base
42,-20.000000000000014,200,0,0,0,A-base
43,-20.000000000000014,200,0,0,0,A-base
44,-22.700000000000045,200,0,3,0,A-base
