Reward,Length,Success,Collisions,Fires
-12.5,26,0,0,1
-10.0,1,0,0,1
-10.2,3,0,0,1
-10.0,1,0,0,1
8.1,20,1,0,0
-10.0,1,0,0,1
5.999999999999998,32,1,1,0
9.1,10,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-11.0,11,0,0,1
9.3,8,1,0,0
-1.5999999999999819,81,0,4,0
5.000000000000001,24,1,3,0
-10.0,1,0,0,1
-10.2,3,0,0,1
-1.0999999999999908,76,0,4,0
-10.7,8,0,0,1
-14.3,44,0,0,1
7.199999999999999,29,1,0,0
-11.1,12,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
9.1,10,1,0,0
9.4,7,1,0,0
-0.999999999999984,75,0,4,0
4.8000000000000025,26,1,3,0
-11.0,11,0,0,1
-11.8,19,0,0,1
-24.899999999999984,60,0,10,1
8.299999999999999,9,1,1,0
-12.900000000000002,30,0,0,1
6.6,17,1,2,0
-11.1,12,0,0,1
5.200000000000001,22,1,3,0
9.5,6,1,0,0
-11.5,16,0,0,1
1.600000000000005,40,1,5,0
-10.8,9,0,0,1
-14.100000000000001,42,0,0,1
3.000000000000009,62,1,1,0
-10.0,1,0,0,1
-14.200000000000001,43,0,0,1
7.7,15,1,1,0
-16.7,32,0,4,1
-10.0,1,0,0,1
-12.3,24,0,0,1
3.6000000000000068,47,1,2,0
-10.0,1,0,0,1
-10.1,2,0,0,1
8.5,16,1,0,0
-14.7,48,0,0,1
-12.0,12,0,1,1
-10.3,4,0,0,1
-10.0,1,0,0,1
-13.400000000000002,35,0,0,1
-10.6,7,0,0,1
4.9,16,1,4,0
1.9000000000000092,55,1,3,0
-16.299999999999997,37,0,3,1
6.399999999999999,28,1,1,0
-10.8,9,0,0,1
8.6,6,1,1,0
-0.49999999999999467,52,0,6,0
-10.5,6,0,0,1
-10.1,2,0,0,1
-12.8,11,0,2,1
8.5,7,1,1,0
1.0000000000000124,64,1,3,0
-11.799999999999978,100,0,2,0
2.2000000000000064,61,1,2,0
-1.4999999999999893,62,0,6,0
-6.599999999999998,86,0,9,0
-10.4,5,0,0,1
-10.0,1,0,0,1
-10.8,9,0,0,1
-10.1,2,0,0,1
-11.4,15,0,0,1
-11.1,12,0,0,1
-10.0,1,0,0,1
5.5,46,1,0,0
-12.5,26,0,0,1
-12.100000000000001,13,0,1,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
2.800000000000006,55,1,2,0
-10.4,5,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
9.0,11,1,0,0
-11.4,15,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
8.4,17,1,0,0
1.600000000000012,58,1,3,0
-13.600000000000001,37,0,0,1
8.4,17,1,0,0
-12.4,25,0,0,1
9.0,11,1,0,0
7.0,13,1,2,0
6.099999999999998,40,1,0,0
-2.899999999999981,94,0,4,0
-16.499999999999993,57,0,1,1
-17.39999999999999,75,0,0,1
7.8999999999999995,22,1,0,0
-10.3,4,0,0,1
-10.3,4,0,0,1
-14.899999999999997,23,0,3,1
-10.1,2,0,0,1
-10.3,4,0,0,1
-13.600000000000001,37,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.7,8,0,0,1
-10.0,1,0,0,1
-16.299999999999983,100,0,7,0
7.8999999999999995,22,1,0,0
-11.799999999999981,100,0,2,0
-13.800000000000002,39,0,0,1
-10.0,1,0,0,1
-11.0,11,0,0,1
-10.7,8,0,0,1
-16.999999999999993,53,0,2,1
-10.0,1,0,0,1
-10.1,2,0,0,1
3.7000000000000073,55,1,1,0
-10.2,3,0,0,1
7.399999999999999,27,1,0,0
5.4,47,1,0,0
7.299999999999999,28,1,0,0
-10.5,6,0,0,1
-2.29999999999999,70,0,6,0
-10.5,6,0,0,1
-10.0,1,0,0,1
3.500000000000007,66,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
6.1,22,1,2,0
4.5,38,1,2,0
-10.5,6,0,0,1
-10.6,7,0,0,1
-10.6,7,0,0,1
5.300000000000001,48,1,0,0
8.5,7,1,1,0
8.5,16,1,0,0
-10.9,10,0,0,1
-12.3,24,0,0,1
-10.2,3,0,0,1
-11.8,19,0,0,1
-10.6,7,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
0.10000000000000853,46,1,6,0
-10.0,1,0,0,1
-10.6,7,0,0,1
-10.2,3,0,0,1
1.3000000000000114,79,1,1,0
7.0,13,1,2,0
6.799999999999999,24,1,1,0
-10.6,7,0,0,1
-11.1,12,0,0,1
-12.4,25,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-13.599999999999978,100,0,4,0
1.3000000000000043,34,1,6,0
8.8,4,1,1,0
6.499999999999999,18,1,2,0
-10.0,1,0,0,1
-10.1,2,0,0,1
-7.6000000000000085,96,0,9,0
-6.899999999999995,98,0,8,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-13.4,17,0,2,1
-10.1,2,0,0,1
-10.0,1,0,0,1
9.6,5,1,0,0
-10.0,1,0,0,1
-16.199999999999996,54,0,1,1
-10.0,1,0,0,1
-11.6,17,0,0,1
-10.0,1,0,0,1
-11.4,15,0,0,1
6.699999999999998,34,1,0,0
-10.3,4,0,0,1
-12.8,29,0,0,1
-10.1,2,0,0,1
-16.599999999999994,31,0,4,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-14.3,35,0,1,1
-10.1,2,0,0,1
-10.0,1,0,0,1
7.499999999999999,26,1,0,0
-14.100000000000001,42,0,0,1
5.300000000000001,48,1,0,0
-13.3,34,0,0,1
-13.5,18,0,2,1
-0.5999999999999925,53,0,6,0
5.999999999999998,41,1,0,0
-10.5,6,0,0,1
-10.3,4,0,0,1
-10.3,4,0,0,1
-14.399999999999999,27,0,2,1
-16.199999999999996,63,0,0,1
-14.200000000000001,43,0,0,1
-10.4,5,0,0,1
-10.0,1,0,0,1
6.199999999999999,21,1,2,0
-10.0,1,0,0,1
-10.0,1,0,0,1
9.6,5,1,0,0
-11.1,12,0,0,1
9.5,6,1,0,0
7.499999999999999,26,1,0,0
-10.3,4,0,0,1
-11.2,13,0,0,1
-10.0,1,0,0,1
-10.9,10,0,0,1
-10.0,1,0,0,1
8.3,9,1,1,0
-10.3,4,0,0,1
-12.100000000000001,22,0,0,1
-10.3,4,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.4,5,0,0,1
-10.8,9,0,0,1
-12.3,24,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.9,10,0,0,1
-10.0,1,0,0,1
-13.000000000000002,31,0,0,1
-10.5,6,0,0,1
-10.1,2,0,0,1
-13.600000000000001,19,0,2,1
-11.5,16,0,0,1
-10.6,7,0,0,1
-10.2,3,0,0,1
-10.0,1,0,0,1
-10.2,3,0,0,1
-11.5,16,0,0,1
-15.299999999999997,36,0,2,1
-10.7,8,0,0,1
-14.7,48,0,0,1
-10.2,3,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
1.3000000000000114,79,1,1,0
7.199999999999999,29,1,0,0
9.7,4,1,0,0
-16.099999999999994,53,0,1,1
-14.899999999999999,32,0,2,1
9.5,6,1,0,0
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
-12.5,17,0,1,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-13.500000000000002,36,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.6,7,0,0,1
-10.0,1,0,0,1
-16.799999999999994,42,0,3,1
-10.0,1,0,0,1
-18.099999999999984,100,0,9,0
-11.8,19,0,0,1
-10.0,1,0,0,1
-10.7,8,0,0,1
-10.7,8,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
2.5000000000000053,49,1,3,0
-10.7,8,0,0,1
-10.0,1,0,0,1
7.499999999999999,26,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.7,8,0,0,1
-15.499999999999998,38,0,2,1
7.5,8,1,2,0
-10.9,10,0,0,1
8.2,19,1,0,0
3.0000000000000036,26,1,5,0
-12.8,20,0,1,1
-10.0,1,0,0,1
9.4,7,1,0,0
-11.1,12,0,0,1
-10.4,5,0,0,1
-10.8,9,0,0,1
-10.2,3,0,0,1
-10.3,4,0,0,1
-12.699999999999982,100,0,3,0
0.10000000000000675,46,1,6,0
-10.2,3,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.2,3,0,0,1
-10.0,1,0,0,1
9.3,8,1,0,0
-12.600000000000001,27,0,0,1
-11.2,13,0,0,1
-10.1,2,0,0,1
-10.4,5,0,0,1
2.9000000000000057,63,1,1,0
7.199999999999999,20,1,1,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.5,6,0,0,1
-13.100000000000001,23,0,1,1
-10.4,5,0,0,1
-10.1,2,0,0,1
-10.8,9,0,0,1
4.799999999999999,44,1,1,0
-10.5,6,0,0,1
-11.1,12,0,0,1
6.099999999999998,31,1,1,0
-13.200000000000001,33,0,0,1
-12.0,21,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
6.1999999999999975,39,1,0,0
6.199999999999999,21,1,2,0
-5.299999999999979,91,0,7,0
-11.6,17,0,0,1
-10.0,1,0,0,1
-11.9,20,0,0,1
-2.7999999999999883,75,0,6,0
-20.69999999999999,45,0,7,1
1.4000000000000057,51,1,4,0
8.7,5,1,1,0
-10.7,8,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
8.9,12,1,0,0
8.3,9,1,1,0
-11.700000000000001,18,0,0,1
-11.3,14,0,0,1
-10.7,8,0,0,1
7.0,13,1,2,0
9.3,8,1,0,0
6.299999999999999,20,1,2,0
7.199999999999999,29,1,0,0
5.000000000000003,42,1,1,0
9.7,4,1,0,0
-4.799999999999992,68,0,9,0
-11.4,15,0,0,1
-10.8,9,0,0,1
9.5,6,1,0,0
9.5,6,1,0,0
-10.4,5,0,0,1
-10.1,2,0,0,1
-10.3,4,0,0,1
-15.099999999999998,52,0,0,1
4.500000000000001,29,1,3,0
-12.2,14,0,1,1
-15.699999999999996,58,0,0,1
-10.4,5,0,0,1
-10.7,8,0,0,1
-12.699999999999996,93,0,15,0
-10.7,8,0,0,1
3.5000000000000053,39,1,3,0
-12.3,24,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.8,9,0,0,1
-10.0,1,0,0,1
-18.59999999999999,69,0,2,1
-14.000000000000002,41,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.4,5,0,0,1
-2.899999999999988,85,0,5,0
-9.500000000000004,88,0,12,0
6.899999999999999,32,1,0,0
-10.3,4,0,0,1
1.1000000000000085,63,1,3,0
-16.39999999999999,47,0,2,1
-13.900000000000002,40,0,0,1
-10.8,9,0,0,1
-10.7,8,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
8.1,11,1,1,0
7.5,17,1,1,0
-0.7999999999999794,82,0,3,0
-10.0,1,0,0,1
7.299999999999999,19,1,1,0
-10.0,1,0,0,1
-12.0,21,0,0,1
-9.99999999999998,100,0,0,0
-10.0,1,0,0,1
-10.8,9,0,0,1
-2.099999999999973,95,0,3,0
-10.9,10,0,0,1
-14.4,45,0,0,1
8.8,13,1,0,0
-3.699999999999985,75,0,7,0
-10.4,5,0,0,1
-10.2,3,0,0,1
-10.1,2,0,0,1
-10.9,10,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-16.29999999999998,100,0,7,0
5.500000000000001,19,1,3,0
-10.6,7,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-19.19999999999999,66,0,3,1
-10.0,1,0,0,1
-10.5,6,0,0,1
-11.3,14,0,0,1
1.400000000000011,78,1,1,0
7.8999999999999995,22,1,0,0
-10.3,4,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
8.5,7,1,1,0
-10.8,9,0,0,1
-10.1,2,0,0,1
-12.9,21,0,1,1
-10.1,2,0,0,1
-12.600000000000001,18,0,1,1
8.5,7,1,1,0
-10.1,2,0,0,1
9.5,6,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.2,3,0,0,1
-10.2,3,0,0,1
-15.799999999999995,59,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
7.3,19,1,1,0
-10.7,8,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.5,6,0,0,1
-19.899999999999984,82,0,2,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.3,4,0,0,1
-10.0,1,0,0,1
8.5,16,1,0,0
7.399999999999999,27,1,0,0
-19.499999999999982,96,0,0,1
-10.2,3,0,0,1
7.499999999999999,17,1,1,0
-11.3,5,0,1,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-12.3,24,0,0,1
-10.0,1,0,0,1
3.9000000000000057,44,1,2,0
9.7,4,1,0,0
-10.0,1,0,0,1
-16.299999999999994,46,0,2,1
-10.1,2,0,0,1
3.500000000000008,57,1,1,0
6.8,15,1,2,0
-11.5,16,0,0,1
-10.1,2,0,0,1
-10.3,4,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-15.399999999999975,100,0,6,0
3.3000000000000043,50,1,2,0
-11.6,17,0,0,1
-10.3,4,0,0,1
-3.4999999999999893,64,0,8,0
-13.600000000000001,37,0,0,1
-10.1,2,0,0,1
-10.7,8,0,0,1
-12.8,29,0,0,1
-11.1,12,0,0,1
3.500000000000007,57,1,1,0
-11.700000000000001,18,0,0,1
5.8999999999999995,33,1,1,0
4.400000000000001,30,1,3,0
5.100000000000001,32,1,2,0
9.0,11,1,0,0
7.8,14,1,1,0
-14.899999999999999,41,0,1,1
0.6000000000000085,41,1,6,0
-10.0,1,0,0,1
-11.4,15,0,0,1
-10.2,3,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
6.199999999999999,30,1,1,0
-13.3,34,0,0,1
-11.700000000000001,18,0,0,1
-10.7,8,0,0,1
-13.900000000000002,31,0,1,1
9.7,4,1,0,0
-10.2,3,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-11.8,19,0,0,1
-2.099999999999987,86,0,4,0
-11.0,11,0,0,1
-10.3,4,0,0,1
8.2,10,1,1,0
7.5,8,1,2,0
-11.6,17,0,0,1
-12.8,29,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
6.699999999999998,25,1,1,0
-22.099999999999994,59,0,7,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
