Reward,Length,Success,Collisions,Fires
-11.2,13,0,0,1
-10.5,6,0,0,1
-10.1,2,0,0,1
-10.7,8,0,0,1
-12.8,20,0,1,1
-10.1,2,0,0,1
-11.2,13,0,0,1
-10.1,2,0,0,1
-15.899999999999997,24,0,4,1
-10.3,4,0,0,1
-10.7,8,0,0,1
-10.0,1,0,0,1
-10.5,6,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
-13.700000000000001,29,0,1,1
-5.499999999999982,84,0,8,0
-19.999999999999986,65,0,4,1
7.099999999999999,30,1,0,0
-10.0,1,0,0,1
-11.4,15,0,0,1
-10.4,5,0,0,1
-13.000000000000002,31,0,0,1
8.6,15,1,0,0
-17.299999999999997,38,0,4,1
-10.0,1,0,0,1
-10.5,6,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
5.7,26,1,2,0
-10.4,5,0,0,1
-10.0,1,0,0,1
-15.3,45,0,1,1
8.0,21,1,0,0
-10.4,5,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
6.1,22,1,2,0
-10.2,3,0,0,1
-10.3,4,0,0,1
-11.5,16,0,0,1
-15.399999999999974,100,0,6,0
-10.4,5,0,0,1
-10.3,4,0,0,1
-10.2,3,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-4.599999999999978,93,0,6,0
-10.8,9,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.5,6,0,0,1
-14.1,24,0,2,1
-10.3,4,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-12.3,15,0,1,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-12.9,21,0,1,1
-11.3,14,0,0,1
-11.5,16,0,0,1
5.7,35,1,1,0
-10.8,9,0,0,1
-20.799999999999997,64,0,5,1
5.400000000000001,29,1,2,0
-10.2,3,0,0,1
-10.1,2,0,0,1
-12.600000000000001,27,0,0,1
-10.0,1,0,0,1
2.4000000000000092,50,1,3,0
-11.3,14,0,0,1
-11.8,19,0,0,1
-14.5,46,0,0,1
-10.1,2,0,0,1
-17.899999999999995,53,0,3,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-11.3,14,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
7.8999999999999995,22,1,0,0
-11.8,19,0,0,1
6.799999999999999,33,1,0,0
-13.400000000000002,35,0,0,1
-10.2,3,0,0,1
-11.2,13,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
-10.1,2,0,0,1
-12.100000000000001,22,0,0,1
-10.0,1,0,0,1
-10.6,7,0,0,1
-5.699999999999987,68,0,10,0
1.0000000000000036,46,1,5,0
-10.8,9,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-12.0,21,0,0,1
-10.0,1,0,0,1
-10.4,5,0,0,1
-10.0,1,0,0,1
-16.699999999999996,41,0,3,1
-10.0,1,0,0,1
-14.499999999999982,100,0,5,0
-12.7,19,0,1,1
-10.0,1,0,0,1
-12.5,17,0,1,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.9,10,0,0,1
-14.0,23,0,2,1
-10.2,3,0,0,1
-23.099999999999987,78,0,6,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.3,4,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-17.19999999999999,55,0,2,1
-8.0,91,0,10,0
-16.9,34,0,4,1
-12.5,26,0,0,1
-10.0,1,0,0,1
7.8999999999999995,22,1,0,0
-16.299999999999997,37,0,3,1
-10.0,1,0,0,1
-17.199999999999996,37,0,4,1
-0.2999999999999936,68,0,4,0
-19.899999999999995,64,0,4,1
-10.0,1,0,0,1
-19.39999999999999,50,0,5,1
-10.1,2,0,0,1
-10.9,10,0,0,1
-10.0,1,0,0,1
4.6000000000000005,37,1,2,0
-10.4,5,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-20.299999999999983,68,0,4,1
-11.2,13,0,0,1
9.2,9,1,0,0
6.499999999999998,36,1,0,0
-13.5,27,0,1,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.5,6,0,0,1
7.199999999999999,20,1,1,0
-17.199999999999996,100,0,8,0
-14.3,44,0,0,1
-15.699999999999996,31,0,3,1
-12.0,21,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-11.1,12,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.2,3,0,0,1
-10.0,1,0,0,1
-12.9,12,0,2,1
-13.600000000000001,37,0,0,1
-10.1,2,0,0,1
-13.400000000000002,35,0,0,1
4.5000000000000036,38,1,2,0
-10.4,5,0,0,1
-12.0,21,0,0,1
-10.9,10,0,0,1
8.5,16,1,0,0
2.100000000000006,53,1,3,0
-15.199999999999998,44,0,1,1
-10.0,1,0,0,1
-10.6,7,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.2,3,0,0,1
-10.1,2,0,0,1
-2.6999999999999797,83,0,5,0
8.5,16,1,0,0
-10.7,8,0,0,1
6.699999999999999,25,1,1,0
6.899999999999999,23,1,1,0
-11.2,13,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-17.19999999999999,100,0,8,0
-12.5,8,0,2,1
-29.70000000000003,99,0,11,1
-11.2,13,0,0,1
-11.5,16,0,0,1
-10.3,4,0,0,1
-16.299999999999983,100,0,7,0
-10.3,4,0,0,1
1.20000000000001,71,1,2,0
-10.7,8,0,0,1
-10.3,4,0,0,1
-10.0,1,0,0,1
