Reward,Length,Success,Collisions,Fires
-15.599999999999996,57,0,0,1
-21.499999999999993,71,0,5,1
-29.4,186,0,1,1
-44.900000000000226,350,0,0,1
-15.1,34,0,2,1
-23.500000000000206,336,0,0,0
-40.0000000000003,400,0,0,0
-40.0000000000003,400,0,0,0
-28.599999999999994,142,0,5,1
-41.60000000000018,317,0,0,1
-14.000000000000071,241,0,0,0
-14.799999999999999,49,0,0,1
-49.00000000000045,400,0,10,0
-3.6999999999999673,138,0,0,0
-5.499999999999961,156,0,0,0
-32.30000000000005,224,0,0,1
-37.60000000000012,268,0,1,1
-18.599999999999987,87,0,0,1
-3.399999999999972,126,0,1,0
-18.50000000000012,277,0,1,0
-1.8999999999999773,111,0,1,0
-40.9000000000003,400,0,1,0
-15.599999999999996,57,0,0,1
-5.999999999999959,161,0,0,0
-18.599999999999987,69,0,2,1
-24.099999999999966,142,0,0,1
-40.0000000000003,400,0,0,0
-20.90000000000017,310,0,0,0
-44.50000000000029,400,0,5,0
-24.900000000000226,350,0,0,0
-9.799999999999997,190,0,1,0
-38.80000000000014,289,0,0,1
-17.600000000000122,277,0,0,0
-18.399999999999984,85,0,0,1
1.6000000000000139,85,1,0,0
-27.199999999999985,146,0,3,1
-2.5999999999999748,118,0,1,0
-41.800000000000296,400,0,2,0
-19.499999999999986,87,0,1,1
-12.800000000000026,211,0,2,0
-40.0000000000003,400,0,0,0
-20.799999999999976,109,0,0,1
1.9000000000000128,82,1,0,0
-17.100000000000115,272,0,0,0
-15.400000000000084,228,0,3,0
-40.0000000000003,400,0,0,0
-40.0000000000003,400,0,0,0
-28.100000000000005,137,0,5,1
-13.500000000000032,182,0,6,0
-40.0000000000003,400,0,0,0
-32.70000000000005,228,0,0,1
0.40000000000001457,88,1,1,0
-40.0000000000003,400,0,0,0
-20.60000000000014,280,0,3,0
0.3000000000000149,89,1,1,0
3.9000000000000057,62,1,0,0
-20.800000000000168,309,0,0,0
-40.0000000000003,400,0,0,0
-40.0000000000003,400,0,0,0
-21.60000000000018,317,0,0,0
4.599999999999998,37,1,2,0
-15.199999999999998,53,0,0,1
-42.700000000000344,400,0,3,0
-5.09999999999998,107,0,5,0
-13.50000000000005,227,0,1,0
-34.800000000000324,368,0,9,0
-40.0000000000003,400,0,0,0
-40.0000000000003,400,0,0,0
-40.0000000000003,400,0,0,0
-40.0000000000003,400,0,0,0
-38.10000000000008,237,0,5,1
-18.50000000000012,277,0,1,0
-47.20000000000037,400,0,8,0
-46.30000000000029,400,0,7,0
-40.0000000000003,400,0,0,0
-14.000000000000002,41,0,0,1
-27.40000000000024,330,0,5,0
-29.800000000000004,190,0,1,1
-15.000000000000085,251,0,0,0
-41.80000000000033,400,0,2,0
-40.0000000000003,400,0,0,0
-15.999999999999995,61,0,0,1
-9.899999999999991,155,0,5,0
-38.500000000000135,286,0,0,1
-20.100000000000115,275,0,3,0
-19.099999999999984,92,0,0,1
-0.3999999999999826,96,0,1,0
-27.000000000000263,344,0,3,0
3.7000000000000064,64,1,0,0
-12.400000000000016,162,0,7,0
-9.70000000000001,198,0,0,0
-41.80000000000033,400,0,2,0
0.7000000000000135,85,1,1,0
-8.299999999999994,175,0,1,0
-34.70000000000008,248,0,0,1
-15.600000000000065,239,0,2,0
-45.40000000000029,400,0,6,0
-40.0000000000003,400,0,0,0
7.8999999999999995,22,1,0,0
-22.199999999999974,114,0,1,1
-28.10000000000027,382,0,0,0
-40.0000000000003,400,0,0,0
-40.0000000000003,400,0,0,0
-10.40000000000002,205,0,0,0
-12.799999999999997,193,0,4,0
-3.5999999999999677,137,0,0,0
-38.80000000000011,271,0,2,1
-26.000000000000163,271,0,10,0
-8.499999999999979,150,0,4,0
-31.60000000000004,208,0,1,1
-41.800000000000296,400,0,2,0
-2.3999999999999755,116,0,1,0
-25.399999999999963,146,0,1,1
-19.499999999999982,87,0,1,1
-18.999999999999986,91,0,0,1
-41.800000000000296,400,0,2,0
-40.0000000000003,400,0,0,0
-32.09999999999998,168,0,6,1
-24.99999999999998,115,0,4,1
-28.799999999999972,162,0,3,1
-42.70000000000031,400,0,3,0
-3.699999999999971,129,0,1,0
-3.7999999999999776,112,0,3,0
-30.300000000000225,323,0,9,0
-11.600000000000037,217,0,0,0
-12.600000000000001,27,0,0,1
-15.6,48,0,1,1
-42.700000000000344,400,0,3,0
-17.4,48,0,3,1
-34.200000000000074,243,0,0,1
-20.700000000000166,308,0,0,0
-18.799999999999983,89,0,0,1
-18.900000000000126,281,0,1,0
-20.300000000000136,277,0,3,0
-40.0000000000003,400,0,0,0
-4.399999999999972,127,0,2,0
-23.1000000000002,332,0,0,0
-26.00000000000022,289,0,8,0
-22.400000000000148,298,0,3,0
-21.900000000000155,302,0,2,0
-41.800000000000296,400,0,2,0
-57.300000000000274,393,0,9,1
-40.0000000000003,400,0,0,0
-28.599999999999984,169,0,2,1
-21.399999999999977,115,0,0,1
-23.000000000000178,295,0,4,0
-19.799999999999983,99,0,0,1
-13.600000000000009,201,0,4,0
-27.700000000000237,351,0,3,0
-0.4999999999999787,106,0,0,0
-21.500000000000178,316,0,0,0
-40.0000000000003,400,0,0,0
-19.299999999999983,94,0,0,1
-21.80000000000014,292,0,3,0
-0.7999999999999883,82,0,3,0
-14.300000000000075,244,0,0,0
-20.000000000000156,301,0,0,0
-19.199999999999992,39,0,6,1
-23.600000000000165,310,0,3,0
-38.900000000000134,263,0,3,1
-40.0000000000003,400,0,0,0
-18.39999999999999,76,0,1,1
-20.100000000000144,293,0,1,0
-12.000000000000036,194,0,3,0
-23.69999999999997,129,0,1,1
-12.900000000000055,230,0,0,0
-22.29999999999998,106,0,2,1
-40.0000000000003,400,0,0,0
-8.399999999999991,185,0,0,0
-29.099999999999987,174,0,2,1
-17.900000000000126,280,0,0,0
-6.699999999999964,150,0,2,0
-9.70000000000001,198,0,0,0
-11.500000000000043,198,0,2,0
-9.300000000000004,194,0,0,0
-28.300000000000004,130,0,6,1
-2.3999999999999826,98,0,3,0
-2.89999999999997,130,0,0,0
-49.200000000000216,348,0,5,1
-44.50000000000034,400,0,5,0
-14.100000000000001,42,0,0,1
-40.0000000000003,400,0,0,0
-42.700000000000294,400,0,3,0
-22.399999999999977,107,0,2,1
-6.699999999999974,150,0,2,0
6.399999999999999,37,1,0,0
-19.59999999999998,97,0,0,1
-36.70000000000009,241,0,3,1
-40.0000000000003,400,0,0,0
-18.299999999999994,66,0,2,1
-14.100000000000001,33,0,1,1
-17.50000000000012,267,0,1,0
-18.499999999999986,77,0,1,1
-42.10000000000014,295,0,3,1
-1.8999999999999773,111,0,1,0
-17.79999999999999,70,0,1,1
-18.0,54,0,3,1
-22.000000000000185,321,0,0,0
-25.700000000000237,358,0,0,0
-40.9000000000003,400,0,1,0
-1.5999999999999819,99,0,2,0
-48.100000000000335,400,0,9,0
-26.999999999999975,126,0,5,1
-12.600000000000001,27,0,0,1
-32.5,163,0,7,1
-40.90000000000031,400,0,1,0
-12.700000000000063,201,0,3,0
-40.0000000000003,400,0,0,0
-35.200000000000074,235,0,2,1
-13.20000000000006,233,0,0,0
-41.80000000000033,400,0,2,0
-17.39999999999999,75,0,0,1
-20.800000000000168,309,0,0,0
-18.00000000000007,245,0,4,0
-23.100000000000172,314,0,2,0
-40.0000000000003,400,0,0,0
-18.400000000000144,249,0,4,0
-35.40000000000009,255,0,0,1
-0.49999999999998224,97,0,1,0
-40.9000000000003,400,0,1,0
-19.699999999999985,89,0,1,1
-0.4999999999999787,106,0,0,0
-40.0000000000003,400,0,0,0
-40.9000000000003,400,0,1,0
-19.79999999999999,81,0,2,1
-24.39999999999997,127,0,2,1
-45.40000000000029,400,0,6,0
-17.29999999999999,74,0,0,1
-40.0000000000003,400,0,0,0
-7.59999999999998,177,0,0,0
-25.699999999999985,86,0,8,1
-19.19999999999998,93,0,0,1
-27.099999999999973,154,0,2,1
-42.700000000000294,400,0,3,0
-23.300000000000175,298,0,4,0
-5.4999999999999645,147,0,1,0
-40.0000000000003,400,0,0,0
-34.30000000000003,217,0,3,1
-22.499999999999986,90,0,4,1
-25.50000000000022,347,0,1,0
-42.700000000000344,400,0,3,0
-40.9000000000003,400,0,1,0
-23.59999999999998,110,0,3,1
-35.000000000000085,251,0,0,1
-31.900000000000027,211,0,1,1
-8.79999999999999,153,0,4,0
-6.099999999999959,162,0,0,0
-43.80000000000021,330,0,1,1
-31.900000000000013,166,0,6,1
-6.299999999999962,164,0,0,0
-40.9000000000003,400,0,1,0
-23.000000000000156,295,0,4,0
-33.40000000000005,226,0,1,1
-18.499999999999986,86,0,0,1
-20.99999999999998,111,0,0,1
-20.90000000000007,247,0,7,0
1.9539925233402755e-14,101,1,0,0
-27.999999999999986,181,0,0,1
-16.1000000000001,262,0,0,0
-17.599999999999987,77,0,0,1
-19.09999999999999,74,0,2,1
-18.499999999999986,86,0,0,1
-16.099999999999998,53,0,1,1
-22.200000000000152,269,0,6,0
-1.1999999999999833,95,0,2,0
-38.60000000000008,251,0,4,1
0.7000000000000135,85,1,1,0
-27.500000000000256,304,0,8,0
-40.0000000000003,400,0,0,0
-14.200000000000077,234,0,1,0
-42.700000000000344,400,0,3,0
-44.50000000000029,400,0,5,0
-19.499999999999993,69,0,3,1
-9.300000000000004,194,0,0,0
-12.00000000000001,167,0,6,0
-32.100000000000016,150,0,8,1
-5.099999999999962,152,0,0,0
-14.100000000000001,42,0,0,1
1.500000000000007,68,1,2,0
-21.499999999999975,116,0,0,1
-0.9999999999999769,111,0,0,0
-43.60000000000034,400,0,4,0
-12.8,29,0,0,1
-18.900000000000126,281,0,1,0
-41.800000000000296,400,0,2,0
-43.60000000000031,400,0,4,0
-21.300000000000175,314,0,0,0
-27.9,135,0,5,1
-26.699999999999967,168,0,0,1
-22.59999999999998,100,0,3,1
-40.0000000000003,400,0,0,0
-4.4999999999999645,146,0,0,0
-7.399999999999981,166,0,1,0
-40.0000000000003,400,0,0,0
-45.8000000000002,278,0,9,1
-46.300000000000395,400,0,7,0
-19.800000000000157,290,0,1,0
-45.40000000000029,400,0,6,0
-41.800000000000324,400,0,2,0
-40.0000000000003,400,0,0,0
-32.200000000000315,369,0,6,0
-19.10000000000006,238,0,6,0
-14.6,47,0,0,1
-47.40000000000026,375,0,0,1
-17.299999999999994,56,0,2,1
-15.999999999999998,43,0,2,1
-17.299999999999994,65,0,1,1
-23.99999999999998,114,0,3,1
-30.80000000000002,182,0,3,1
-15.700000000000053,168,0,10,0
-54.700000000000315,385,0,7,1
-12.000000000000007,149,0,8,0
-18.89999999999999,72,0,2,1
-29.400000000000006,195,0,0,1
-13.000000000000002,31,0,0,1
-3.8999999999999844,95,0,5,0
