Reward,Length,Success,Collisions,Fires
4.600000000000003,28,1,3,0
-10.1,2,0,0,1
-12.100000000000001,22,0,0,1
9.7,4,1,0,0
9.5,6,1,0,0
9.1,10,1,0,0
-10.0,1,0,0,1
-10.5,6,0,0,1
-10.3,4,0,0,1
-10.1,2,0,0,1
-10.5,6,0,0,1
-12.0,12,0,1,1
9.8,3,1,0,0
9.2,9,1,0,0
-16.599999999999994,40,0,3,1
-10.0,1,0,0,1
-15.899999999999995,60,0,0,1
9.8,3,1,0,0
-10.0,1,0,0,1
5.800000000000001,25,1,2,0
9.9,2,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-11.3,14,0,0,1
-13.599999999999975,100,0,4,0
-11.8,10,0,1,1
-10.1,2,0,0,1
-11.700000000000001,18,0,0,1
9.7,4,1,0,0
-18.399999999999984,76,0,1,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-11.2,13,0,0,1
-10.5,6,0,0,1
-10.4,5,0,0,1
9.1,10,1,0,0
-16.199999999999992,54,0,1,1
-10.3,4,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
9.1,10,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
-11.799999999999978,100,0,2,0
-11.5,16,0,0,1
9.7,4,1,0,0
9.9,2,1,0,0
-10.3,4,0,0,1
-10.1,2,0,0,1
9.0,11,1,0,0
-10.4,5,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
8.2,19,1,0,0
9.6,5,1,0,0
8.299999999999999,18,1,0,0
-12.0,12,0,1,1
-10.6,7,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.7,8,0,0,1
-10.1,2,0,0,1
-11.1,12,0,0,1
-10.5,6,0,0,1
9.8,3,1,0,0
-14.799999999999999,40,0,1,1
-10.1,2,0,0,1
-10.0,1,0,0,1
8.0,21,1,0,0
9.7,4,1,0,0
-15.999999999999998,43,0,2,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.5,6,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
-10.2,3,0,0,1
9.5,6,1,0,0
-18.899999999999988,81,0,1,1
-10.0,1,0,0,1
-11.3,14,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
9.8,3,1,0,0
-4.599999999999982,93,0,6,0
9.7,4,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
-10.0,1,0,0,1
-10.2,3,0,0,1
-12.3,24,0,0,1
7.8999999999999995,22,1,0,0
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
9.7,4,1,0,0
9.8,3,1,0,0
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-14.0,32,0,1,1
-10.8,9,0,0,1
-10.0,1,0,0,1
9.8,3,1,0,0
9.7,4,1,0,0
-10.8,9,0,0,1
-10.0,1,0,0,1
-11.2,13,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.2,3,0,0,1
-10.1,2,0,0,1
-18.4,40,0,5,1
2.4000000000000092,50,1,3,0
8.8,13,1,0,0
9.9,2,1,0,0
-10.0,1,0,0,1
9.4,7,1,0,0
9.6,5,1,0,0
9.9,2,1,0,0
-10.2,3,0,0,1
-11.1,12,0,0,1
4.700000000000003,45,1,1,0
9.9,2,1,0,0
-10.0,1,0,0,1
9.2,9,1,0,0
9.7,4,1,0,0
9.8,3,1,0,0
-15.5,47,0,1,1
-11.4,15,0,0,1
-10.0,1,0,0,1
4.0000000000000036,43,1,2,0
-10.1,2,0,0,1
-12.100000000000001,22,0,0,1
-10.3,4,0,0,1
0.3000000000000096,53,1,5,0
-10.8,9,0,0,1
8.7,14,1,0,0
9.8,3,1,0,0
9.9,2,1,0,0
-13.0,22,0,1,1
-10.1,2,0,0,1
9.7,4,1,0,0
-17.899999999999988,62,0,2,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-13.500000000000002,36,0,0,1
9.8,3,1,0,0
9.4,7,1,0,0
-10.2,3,0,0,1
-16.699999999999996,59,0,1,1
9.7,4,1,0,0
9.3,8,1,0,0
8.299999999999999,18,1,0,0
9.6,5,1,0,0
-14.799999999999997,31,0,2,1
-18.599999999999994,51,0,4,1
-13.200000000000001,33,0,0,1
9.5,6,1,0,0
-16.499999999999993,66,0,0,1
-10.2,3,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
-8.00000000000001,91,0,10,0
8.6,15,1,0,0
9.8,3,1,0,0
-10.0,1,0,0,1
8.2,19,1,0,0
-10.4,5,0,0,1
-10.5,6,0,0,1
-10.1,2,0,0,1
-14.3,35,0,1,1
-23.59999999999998,83,0,6,1
8.8,13,1,0,0
8.9,12,1,0,0
9.6,5,1,0,0
2.400000000000011,59,1,2,0
-10.4,5,0,0,1
9.8,3,1,0,0
9.9,2,1,0,0
-19.99999999999999,56,0,5,1
8.9,12,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
-15.399999999999983,100,0,6,0
-20.399999999999984,78,0,3,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
8.9,12,1,0,0
-10.1,2,0,0,1
-10.0,1,0,0,1
-12.700000000000001,28,0,0,1
-10.7,8,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
6.899999999999999,32,1,0,0
8.299999999999999,18,1,0,0
9.8,3,1,0,0
-15.399999999999979,100,0,6,0
-10.6,7,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-16.999999999999993,44,0,3,1
-15.299999999999997,54,0,0,1
8.6,15,1,0,0
9.5,6,1,0,0
2.6000000000000085,57,1,2,0
-10.7,8,0,0,1
-16.499999999999993,39,0,3,1
-16.099999999999998,44,0,2,1
-15.4,46,0,1,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
8.5,16,1,0,0
9.3,8,1,0,0
-10.7,8,0,0,1
-10.0,1,0,0,1
-15.099999999999998,43,0,1,1
-10.5,6,0,0,1
-10.4,5,0,0,1
-12.3,15,0,1,1
7.399999999999999,27,1,0,0
9.7,4,1,0,0
-10.2,3,0,0,1
-4.599999999999989,84,0,7,0
-20.399999999999988,69,0,4,1
-10.4,5,0,0,1
9.5,6,1,0,0
9.4,7,1,0,0
-12.0,21,0,0,1
-11.700000000000001,18,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-3.59999999999998,74,0,7,0
-12.900000000000002,30,0,0,1
-13.200000000000001,33,0,0,1
-11.3,14,0,0,1
-20.79999999999999,46,0,7,1
-10.2,3,0,0,1
-10.3,4,0,0,1
-11.8,19,0,0,1
-18.39999999999999,49,0,4,1
-10.6,7,0,0,1
-10.1,2,0,0,1
-16.299999999999983,100,0,7,0
-12.100000000000001,22,0,0,1
-10.9,10,0,0,1
-10.1,2,0,0,1
-22.60000000000002,100,0,14,0
-22.299999999999983,61,0,7,1
-11.7,9,0,1,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.3,4,0,0,1
-10.0,1,0,0,1
4.800000000000003,44,1,1,0
-13.600000000000001,28,0,1,1
-10.0,1,0,0,1
-10.5,6,0,0,1
9.8,3,1,0,0
9.2,9,1,0,0
-13.4,17,0,2,1
-10.3,4,0,0,1
-10.3,4,0,0,1
-10.3,4,0,0,1
7.299999999999999,28,1,0,0
8.8,13,1,0,0
9.5,6,1,0,0
-10.4,5,0,0,1
-10.1,2,0,0,1
-17.099999999999994,36,0,4,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-11.9,20,0,0,1
-10.1,2,0,0,1
9.4,7,1,0,0
-10.2,3,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-16.299999999999983,100,0,7,0
-10.7,8,0,0,1
9.8,3,1,0,0
9.7,4,1,0,0
-19.69999999999999,62,0,4,1
-10.0,1,0,0,1
-25.899999999999977,88,0,8,1
-10.0,1,0,0,1
-12.100000000000001,22,0,0,1
-11.700000000000001,18,0,0,1
9.6,5,1,0,0
-10.2,3,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
9.7,4,1,0,0
9.5,6,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
2.5000000000000107,67,1,1,0
9.9,2,1,0,0
9.8,3,1,0,0
9.9,2,1,0,0
6.699999999999998,34,1,0,0
-10.6,7,0,0,1
-19.399999999999984,68,0,3,1
-10.0,1,0,0,1
-10.3,4,0,0,1
-10.0,1,0,0,1
-10.899999999999979,100,0,1,0
-17.89999999999999,71,0,1,1
-10.1,2,0,0,1
-15.0,33,0,2,1
-10.1,2,0,0,1
-11.3,14,0,0,1
-10.0,1,0,0,1
9.4,7,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.7,8,0,0,1
-10.3,4,0,0,1
-10.1,2,0,0,1
-15.199999999999996,44,0,1,1
-10.4,5,0,0,1
-18.10000000000001,100,0,9,0
-10.8,9,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-16.299999999999994,55,0,1,1
-10.5,6,0,0,1
-10.5,6,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
3.400000000000005,40,1,3,0
9.9,2,1,0,0
-10.1,2,0,0,1
-10.0,1,0,0,1
3.900000000000003,35,1,3,0
9.5,6,1,0,0
9.6,5,1,0,0
9.4,7,1,0,0
-16.599999999999994,49,0,2,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-11.0,11,0,0,1
-10.0,1,0,0,1
-15.999999999999995,43,0,2,1
-10.2,3,0,0,1
-10.0,1,0,0,1
-12.4,16,0,1,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.2,3,0,0,1
-11.799999999999981,100,0,2,0
-13.0,22,0,1,1
-10.4,5,0,0,1
-11.5,16,0,0,1
9.5,6,1,0,0
9.9,2,1,0,0
9.3,8,1,0,0
-9.99999999999998,100,0,0,0
-14.000000000000002,41,0,0,1
5.6,45,1,0,0
9.8,3,1,0,0
9.7,4,1,0,0
9.8,3,1,0,0
9.9,2,1,0,0
9.8,3,1,0,0
9.7,4,1,0,0
7.199999999999999,29,1,0,0
9.5,6,1,0,0
-10.4,5,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.2,3,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-12.0,21,0,0,1
-10.89999999999998,100,0,1,0
-4.899999999999979,87,0,7,0
-10.0,1,0,0,1
-14.0,32,0,1,1
0.8000000000000096,57,1,4,0
9.8,3,1,0,0
-10.0,1,0,0,1
9.8,3,1,0,0
9.8,3,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
-10.0,1,0,0,1
8.299999999999999,18,1,0,0
8.8,13,1,0,0
-10.2,3,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-23.099999999999987,78,0,6,1
-10.3,4,0,0,1
-10.9,10,0,0,1
-10.1,2,0,0,1
9.5,6,1,0,0
-10.2,3,0,0,1
-10.4,5,0,0,1
-10.0,1,0,0,1
-14.999999999999998,51,0,0,1
4.400000000000005,48,1,1,0
9.7,4,1,0,0
-10.4,5,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-11.6,17,0,0,1
-10.6,7,0,0,1
-11.9,11,0,1,1
-11.1,12,0,0,1
-26.199999999999985,82,0,9,1
-10.6,7,0,0,1
-10.0,1,0,0,1
9.8,3,1,0,0
-16.299999999999983,100,0,7,0
-11.2,13,0,0,1
-11.0,11,0,0,1
9.2,9,1,0,0
-19.9,100,0,11,0
-19.29999999999999,58,0,4,1
-18.09999999999999,100,0,9,0
-24.799999999999976,95,0,6,1
-10.9,10,0,0,1
-10.1,2,0,0,1
-14.5,37,0,1,1
-13.5,27,0,1,1
-10.0,1,0,0,1
8.7,14,1,0,0
9.9,2,1,0,0
7.499999999999999,17,1,1,0
-14.5,46,0,0,1
9.5,6,1,0,0
9.8,3,1,0,0
9.8,3,1,0,0
-10.5,6,0,0,1
-10.7,8,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-20.999999999999982,84,0,3,1
-10.1,2,0,0,1
-11.9,20,0,0,1
-10.2,3,0,0,1
-10.9,10,0,0,1
-10.4,5,0,0,1
-10.3,4,0,0,1
9.8,3,1,0,0
-11.8,19,0,0,1
-11.700000000000001,18,0,0,1
9.5,6,1,0,0
-10.2,3,0,0,1
-10.1,2,0,0,1
3.4000000000000083,49,1,2,0
9.9,2,1,0,0
3.6000000000000068,65,1,0,0
-16.299999999999997,37,0,3,1
9.7,4,1,0,0
-11.5,16,0,0,1
-10.1,2,0,0,1
0.40000000000000746,61,1,4,0
9.8,3,1,0,0
-10.0,1,0,0,1
-10.2,3,0,0,1
-10.5,6,0,0,1
-10.0,1,0,0,1
-13.599999999999978,100,0,4,0
-11.0,11,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.7,8,0,0,1
-13.100000000000001,32,0,0,1
9.1,10,1,0,0
2.6000000000000068,66,1,1,0
9.7,4,1,0,0
7.5,17,1,1,0
9.9,2,1,0,0
9.8,3,1,0,0
-10.8,9,0,0,1
9.8,3,1,0,0
-10.2,3,0,0,1
-11.1,12,0,0,1
-10.2,3,0,0,1
4.100000000000007,42,1,2,0
-11.3,14,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
8.7,14,1,0,0
-10.0,1,0,0,1
-11.3,14,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
7.799999999999999,23,1,0,0
-10.3,4,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-20.89999999999999,65,0,5,1
9.8,3,1,0,0
-10.0,1,0,0,1
-17.19999999999999,73,0,0,1
-10.5,6,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-26.399999999999988,84,0,9,1
-10.3,4,0,0,1
9.5,6,1,0,0
-19.799999999999994,54,0,5,1
-10.1,2,0,0,1
-1.79999999999999,56,0,7,0
9.6,5,1,0,0
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
9.8,3,1,0,0
9.9,2,1,0,0
9.8,3,1,0,0
9.7,4,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
-10.0,1,0,0,1
-10.3,4,0,0,1
5.6,45,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-1.0999999999999837,94,0,2,0
-10.6,7,0,0,1
9.5,6,1,0,0
9.7,4,1,0,0
9.9,2,1,0,0
7.699999999999999,24,1,0,0
-10.1,2,0,0,1
-10.1,2,0,0,1
9.8,3,1,0,0
9.7,4,1,0,0
-14.2,34,0,1,1
-10.8,9,0,0,1
-10.0,1,0,0,1
9.6,5,1,0,0
9.9,2,1,0,0
4.900000000000002,52,1,0,0
-10.0,1,0,0,1
6.899999999999999,32,1,0,0
9.6,5,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-12.5,26,0,0,1
9.5,6,1,0,0
-10.3,4,0,0,1
-10.3,4,0,0,1
-10.0,1,0,0,1
8.8,13,1,0,0
-18.199999999999996,47,0,4,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-11.9,11,0,1,1
-10.1,2,0,0,1
-13.3,25,0,1,1
9.8,3,1,0,0
-10.0,1,0,0,1
-13.3,25,0,1,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
9.8,3,1,0,0
9.6,5,1,0,0
-10.1,2,0,0,1
9.5,6,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
9.8,3,1,0,0
8.4,17,1,0,0
-10.3,4,0,0,1
-10.0,1,0,0,1
9.4,7,1,0,0
7.799999999999999,23,1,0,0
-10.4,5,0,0,1
4.100000000000005,51,1,1,0
-15.299999999999997,45,0,1,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
9.3,8,1,0,0
9.4,7,1,0,0
8.5,16,1,0,0
9.3,8,1,0,0
9.8,3,1,0,0
9.5,6,1,0,0
-15.399999999999999,46,0,1,1
8.4,17,1,0,0
-14.2,25,0,2,1
-10.0,1,0,0,1
-14.899999999999999,41,0,1,1
-11.0,11,0,0,1
-10.2,3,0,0,1
-16.2,18,0,5,1
-0.599999999999989,71,0,4,0
9.6,5,1,0,0
9.7,4,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
3.4000000000000075,67,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.4,5,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-13.800000000000002,30,0,1,1
-15.399999999999979,100,0,6,0
-16.699999999999992,59,0,1,1
-14.499999999999977,100,0,5,0
-10.9,10,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.5,6,0,0,1
-11.0,11,0,0,1
-10.6,7,0,0,1
-10.1,2,0,0,1
-19.499999999999986,60,0,4,1
-10.2,3,0,0,1
-10.4,5,0,0,1
9.8,3,1,0,0
-10.1,2,0,0,1
-10.0,1,0,0,1
-15.399999999999983,100,0,6,0
-17.89999999999999,53,0,3,1
-14.2,25,0,2,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-16.29999999999999,46,0,2,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
9.8,3,1,0,0
-10.0,1,0,0,1
9.6,5,1,0,0
-10.6,7,0,0,1
-11.2,13,0,0,1
-10.1,2,0,0,1
-1.5999999999999925,63,0,6,0
9.9,2,1,0,0
9.3,8,1,0,0
9.8,3,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
9.4,7,1,0,0
-10.4,5,0,0,1
-10.1,2,0,0,1
-14.299999999999999,26,0,2,1
-10.0,1,0,0,1
9.8,3,1,0,0
-10.2,3,0,0,1
-10.0,1,0,0,1
-18.999999999999993,73,0,2,1
-10.1,2,0,0,1
-0.19999999999997975,85,0,2,0
9.8,3,1,0,0
9.7,4,1,0,0
9.6,5,1,0,0
9.9,2,1,0,0
7.6,25,1,0,0
9.9,2,1,0,0
9.7,4,1,0,0
9.9,2,1,0,0
9.8,3,1,0,0
-11.4,15,0,0,1
-3.5999999999999837,83,0,6,0
7.799999999999999,23,1,0,0
9.9,2,1,0,0
9.8,3,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
9.6,5,1,0,0
9.7,4,1,0,0
-10.7,8,0,0,1
-10.3,4,0,0,1
9.8,3,1,0,0
9.1,10,1,0,0
9.6,5,1,0,0
9.9,2,1,0,0
7.099999999999999,30,1,0,0
-10.8,9,0,0,1
9.8,3,1,0,0
9.5,6,1,0,0
9.7,4,1,0,0
-10.3,4,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
3.300000000000008,59,1,1,0
-13.3,34,0,0,1
6.699999999999998,34,1,0,0
-11.1,12,0,0,1
-10.1,2,0,0,1
9.1,10,1,0,0
-10.2,3,0,0,1
-16.999999999999993,62,0,1,1
8.299999999999999,18,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
9.8,3,1,0,0
9.9,2,1,0,0
-11.5,16,0,0,1
-10.1,2,0,0,1
9.4,7,1,0,0
9.9,2,1,0,0
9.8,3,1,0,0
9.8,3,1,0,0
-19.399999999999984,86,0,1,1
-11.6,17,0,0,1
-10.0,1,0,0,1
-10.7,8,0,0,1
-10.0,1,0,0,1
-15.199999999999998,35,0,2,1
9.4,7,1,0,0
9.8,3,1,0,0
9.9,2,1,0,0
-2.0999999999999766,95,0,3,0
9.9,2,1,0,0
9.6,5,1,0,0
-11.9,20,0,0,1
-11.3,14,0,0,1
-13.8,30,0,1,1
-11.9,20,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
-10.6,7,0,0,1
-10.0,1,0,0,1
-11.8,19,0,0,1
-10.0,1,0,0,1
-11.0,11,0,0,1
9.5,6,1,0,0
3.7000000000000046,28,1,4,0
9.3,8,1,0,0
9.5,6,1,0,0
-12.900000000000002,30,0,0,1
-10.0,1,0,0,1
9.2,9,1,0,0
9.1,10,1,0,0
9.3,8,1,0,0
9.6,5,1,0,0
9.1,10,1,0,0
9.9,2,1,0,0
9.3,8,1,0,0
-10.0,1,0,0,1
-10.1,2,0,0,1
9.8,3,1,0,0
9.7,4,1,0,0
9.8,3,1,0,0
9.9,2,1,0,0
-10.2,3,0,0,1
9.6,5,1,0,0
-10.4,5,0,0,1
0.40000000000001457,70,1,3,0
9.8,3,1,0,0
-10.0,1,0,0,1
-20.69999999999999,72,0,4,1
-10.7,8,0,0,1
-10.4,5,0,0,1
-13.599999999999978,100,0,4,0
-14.5,37,0,1,1
9.6,5,1,0,0
7.699999999999999,15,1,1,0
9.5,6,1,0,0
3.000000000000006,53,1,2,0
9.7,4,1,0,0
9.9,2,1,0,0
9.6,5,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.5,6,0,0,1
-10.1,2,0,0,1
-10.3,4,0,0,1
9.8,3,1,0,0
-10.6,7,0,0,1
-10.1,2,0,0,1
-10.7,8,0,0,1
-10.4,5,0,0,1
-10.0,1,0,0,1
-10.9,10,0,0,1
9.8,3,1,0,0
9.9,2,1,0,0
9.6,5,1,0,0
-17.899999999999995,44,0,4,1
9.8,3,1,0,0
-10.2,3,0,0,1
-14.7,39,0,1,1
-10.1,2,0,0,1
-16.99999999999999,62,0,1,1
7.099999999999999,30,1,0,0
9.8,3,1,0,0
-15.399999999999977,100,0,6,0
-18.799999999999986,71,0,2,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.5,6,0,0,1
-10.0,1,0,0,1
9.5,6,1,0,0
9.7,4,1,0,0
9.7,4,1,0,0
9.8,3,1,0,0
-20.299999999999997,41,0,7,1
-10.0,1,0,0,1
9.4,7,1,0,0
9.9,2,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
6.499999999999999,27,1,1,0
-22.60000000000001,100,0,14,0
9.7,4,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
9.4,7,1,0,0
-14.499999999999982,100,0,5,0
6.699999999999998,34,1,0,0
-16.099999999999998,44,0,2,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-1.3999999999999897,70,0,5,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.6,7,0,0,1
-10.0,1,0,0,1
-11.9,20,0,0,1
-10.0,1,0,0,1
-10.4,5,0,0,1
-17.19999999999999,64,0,1,1
-12.200000000000001,23,0,0,1
-10.0,1,0,0,1
-11.3,14,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
9.8,3,1,0,0
-10.2,3,0,0,1
-10.3,4,0,0,1
-10.0,1,0,0,1
-10.5,6,0,0,1
9.1,10,1,0,0
9.9,2,1,0,0
-10.4,5,0,0,1
9.8,3,1,0,0
-23.099999999999977,96,0,4,1
-10.1,2,0,0,1
