Reward,Length,Success,Collisions,Fires
-0.6999999999999922,63,0,5,0
-1.0,48,0,7,0
5.300000000000002,30,1,2,0
-10.0,1,0,0,1
8.5,16,1,0,0
9.9,2,1,0,0
-14.200000000000001,34,0,1,1
-10.0,1,0,0,1
10.0,1,1,0,0
-10.0,1,0,0,1
-11.8,19,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
10.0,1,1,0,0
-11.1,12,0,0,1
10.0,1,1,0,0
-10.0,1,0,0,1
10.0,1,1,0,0
9.9,2,1,0,0
-10.0,1,0,0,1
10.0,1,1,0,0
5.899999999999999,42,1,0,0
-18.499999999999986,86,0,0,1
-17.50000000000002,159,0,13,0
9.9,2,1,0,0
9.7,4,1,0,0
-10.0,1,0,0,1
10.0,1,1,0,0
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.2,3,0,0,1
-10.1,2,0,0,1
-11.0,11,0,0,1
-11.4,15,0,0,1
9.8,3,1,0,0
7.6,16,1,1,0
-10.0,1,0,0,1
10.0,1,1,0,0
-10.0,1,0,0,1
8.1,20,1,0,0
-10.2,3,0,0,1
-10.4,5,0,0,1
9.6,5,1,0,0
9.9,2,1,0,0
-10.9,10,0,0,1
9.8,3,1,0,0
9.7,4,1,0,0
-10.0,1,0,0,1
-12.4,25,0,0,1
10.0,1,1,0,0
-10.2,3,0,0,1
10.0,1,1,0,0
8.299999999999999,18,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
6.499999999999998,36,1,0,0
9.9,2,1,0,0
4.600000000000003,46,1,1,0
0.6000000000000139,77,1,2,0
9.9,2,1,0,0
9.9,2,1,0,0
-10.2,3,0,0,1
10.0,1,1,0,0
-10.0,1,0,0,1
10.0,1,1,0,0
-10.5,6,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
9.8,3,1,0,0
6.299999999999999,20,1,2,0
-16.399999999999995,38,0,3,1
-10.0,1,0,0,1
-10.1,2,0,0,1
9.8,3,1,0,0
7.499999999999999,26,1,0,0
3.300000000000008,68,1,0,0
-13.9,22,0,2,1
10.0,1,1,0,0
9.9,2,1,0,0
9.5,6,1,0,0
9.7,4,1,0,0
9.7,4,1,0,0
8.0,21,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
-23.19999999999998,97,0,4,1
-14.5,37,0,1,1
-10.0,1,0,0,1
-10.0,1,0,0,1
10.0,1,1,0,0
7.8999999999999995,22,1,0,0
9.9,2,1,0,0
9.7,4,1,0,0
9.7,4,1,0,0
-10.0,1,0,0,1
-10.1,2,0,0,1
10.0,1,1,0,0
-13.000000000000002,31,0,0,1
-10.0,1,0,0,1
-11.0,11,0,0,1
7.499999999999999,26,1,0,0
-10.4,5,0,0,1
-10.1,2,0,0,1
-33.70000000000003,148,0,10,1
-10.0,1,0,0,1
-10.0,1,0,0,1
2.5000000000000044,58,1,2,0
6.899999999999999,32,1,0,0
-10.0,1,0,0,1
-10.2,3,0,0,1
10.0,1,1,0,0
9.9,2,1,0,0
-18.19999999999999,47,0,4,1
8.0,21,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
6.999999999999999,22,1,1,0
-10.0,1,0,0,1
8.9,12,1,0,0
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.5,6,0,0,1
9.6,5,1,0,0
-11.2,13,0,0,1
10.0,1,1,0,0
9.7,4,1,0,0
3.900000000000004,53,1,1,0
0.10000000000001563,64,1,4,0
9.7,4,1,0,0
9.3,8,1,0,0
8.8,13,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
9.5,6,1,0,0
9.9,2,1,0,0
-10.0,1,0,0,1
10.0,1,1,0,0
-10.0,1,0,0,1
10.0,1,1,0,0
7.4,18,1,1,0
-10.0,1,0,0,1
10.0,1,1,0,0
-10.5,6,0,0,1
-10.2,3,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
-15.599999999999996,57,0,0,1
10.0,1,1,0,0
-10.2,3,0,0,1
9.7,4,1,0,0
-11.6,17,0,0,1
8.5,16,1,0,0
9.9,2,1,0,0
-10.0,1,0,0,1
-10.7,8,0,0,1
10.0,1,1,0,0
-11.5,16,0,0,1
10.0,1,1,0,0
-10.7,8,0,0,1
8.0,21,1,0,0
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
10.0,1,1,0,0
-10.0,1,0,0,1
10.0,1,1,0,0
-10.0,1,0,0,1
10.0,1,1,0,0
9.9,2,1,0,0
8.8,13,1,0,0
-11.8,19,0,0,1
10.0,1,1,0,0
7.8999999999999995,22,1,0,0
-10.0,1,0,0,1
-4.499999999999982,92,0,6,0
9.9,2,1,0,0
8.9,12,1,0,0
-10.0,1,0,0,1
10.0,1,1,0,0
9.9,2,1,0,0
3.5000000000000018,21,1,5,0
-10.4,5,0,0,1
-10.2,3,0,0,1
-2.8999999999999826,76,0,6,0
8.6,15,1,0,0
9.7,4,1,0,0
4.5,47,1,1,0
-10.0,1,0,0,1
-10.1,2,0,0,1
10.0,1,1,0,0
9.9,2,1,0,0
-10.0,1,0,0,1
-10.0,1,0,0,1
10.0,1,1,0,0
7.699999999999999,6,1,2,0
-29.3,104,0,10,1
10.0,1,1,0,0
-10.0,1,0,0,1
