Reward,Length,Success,Collisions,Fires
7.499999999999999,17,1,1,0
9.9,2,1,0,0
7.699999999999999,24,1,0,0
-10.2,3,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
5.8999999999999995,33,1,1,0
-17.599999999999994,50,0,3,1
9.3,8,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
9.7,4,1,0,0
9.7,4,1,0,0
9.5,6,1,0,0
-12.0,21,0,0,1
2.5000000000000115,67,1,1,0
-10.8,9,0,0,1
9.4,7,1,0,0
9.8,3,1,0,0
9.1,10,1,0,0
5.3,21,1,3,0
-19.999999999999986,56,0,5,1
6.399999999999999,19,1,2,0
-13.700000000000003,38,0,0,1
-10.0,1,0,0,1
-13.400000000000002,26,0,1,1
-10.0,1,0,0,1
7.699999999999999,24,1,0,0
3.4000000000000075,40,1,3,0
8.7,14,1,0,0
6.099999999999998,40,1,0,0
7.8999999999999995,22,1,0,0
8.5,7,1,1,0
-10.5,6,0,0,1
-10.3,4,0,0,1
-11.0,11,0,0,1
7.699999999999999,24,1,0,0
-13.100000000000001,32,0,0,1
-10.7,8,0,0,1
-11.5,16,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
9.4,7,1,0,0
0.20000000000000817,54,1,5,0
9.9,2,1,0,0
9.7,4,1,0,0
-10.2,3,0,0,1
8.2,19,1,0,0
-11.5,16,0,0,1
-10.3,4,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
7.799999999999999,23,1,0,0
4.900000000000002,43,1,1,0
9.7,4,1,0,0
1.3000000000000114,52,1,4,0
8.9,12,1,0,0
9.4,7,1,0,0
-10.2,3,0,0,1
9.8,3,1,0,0
9.5,6,1,0,0
9.5,6,1,0,0
9.4,7,1,0,0
9.8,3,1,0,0
-10.2,3,0,0,1
9.4,7,1,0,0
9.2,9,1,0,0
9.9,2,1,0,0
7.5,17,1,1,0
-10.4,5,0,0,1
-11.2,13,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
9.6,5,1,0,0
1.8000000000000131,56,1,3,0
9.3,8,1,0,0
7.6,25,1,0,0
9.7,4,1,0,0
9.9,2,1,0,0
-10.5,6,0,0,1
-10.3,4,0,0,1
-10.0,1,0,0,1
-10.2,3,0,0,1
9.3,8,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
-10.4,5,0,0,1
2.1000000000000076,44,1,4,0
6.599999999999998,35,1,0,0
5.800000000000001,16,1,3,0
8.1,11,1,1,0
9.5,6,1,0,0
2.0000000000000036,36,1,5,0
-10.2,3,0,0,1
7.299999999999999,28,1,0,0
9.5,6,1,0,0
-16.099999999999994,26,0,4,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
2.9000000000000075,45,1,3,0
-10.5,6,0,0,1
6.799999999999999,24,1,1,0
8.1,11,1,1,0
9.8,3,1,0,0
9.7,4,1,0,0
4.900000000000002,52,1,0,0
-15.399999999999997,55,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
6.999999999999998,31,1,0,0
9.9,2,1,0,0
0.20000000000001172,81,1,2,0
9.8,3,1,0,0
9.9,2,1,0,0
-13.3,34,0,0,1
-10.1,2,0,0,1
9.2,9,1,0,0
9.7,4,1,0,0
9.9,2,1,0,0
9.1,10,1,0,0
9.8,3,1,0,0
8.299999999999999,18,1,0,0
-17.199999999999996,55,0,2,1
-10.0,1,0,0,1
-10.0,1,0,0,1
3.300000000000006,41,1,3,0
9.9,2,1,0,0
5.100000000000002,23,1,3,0
4.200000000000002,23,1,4,0
6.899999999999999,32,1,0,0
6.799999999999999,33,1,0,0
-10.4,5,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.4,5,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.4,5,0,0,1
-10.0,1,0,0,1
4.0000000000000036,43,1,2,0
9.5,6,1,0,0
9.9,2,1,0,0
9.2,9,1,0,0
8.299999999999999,18,1,0,0
9.7,4,1,0,0
9.9,2,1,0,0
9.7,4,1,0,0
9.1,10,1,0,0
-11.2,13,0,0,1
-10.1,2,0,0,1
-11.4,15,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-1.4999999999999964,62,0,6,0
-12.9,21,0,1,1
-12.700000000000001,28,0,0,1
9.0,11,1,0,0
9.9,2,1,0,0
9.2,9,1,0,0
9.9,2,1,0,0
8.7,5,1,1,0
-12.0,21,0,0,1
-14.200000000000001,34,0,1,1
-10.4,5,0,0,1
5.899999999999999,33,1,1,0
9.2,9,1,0,0
-10.8,9,0,0,1
-10.0,1,0,0,1
8.8,13,1,0,0
-13.100000000000001,23,0,1,1
-11.5,16,0,0,1
9.4,7,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
-11.5,16,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.4,5,0,0,1
-10.1,2,0,0,1
6.599999999999998,26,1,1,0
9.9,2,1,0,0
9.9,2,1,0,0
8.5,16,1,0,0
9.9,2,1,0,0
6.0,14,1,3,0
9.9,2,1,0,0
9.3,8,1,0,0
