Reward,Length,Success,Collisions,Fires
-14.2,34,0,1,1
-10.4,5,0,0,1
-10.0,1,0,0,1
-10.7,8,0,0,1
-10.0,1,0,0,1
-12.5,17,0,1,1
-11.0,11,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.4,5,0,0,1
-40.70000000000016,200,0,23,0
-10.5,6,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
8.4,8,1,1,0
-10.5,6,0,0,1
-10.3,4,0,0,1
-13.100000000000001,23,0,1,1
-14.799999999999997,22,0,3,1
-10.1,2,0,0,1
-10.1,2,0,0,1
9.7,4,1,0,0
10.0,1,1,0,0
9.9,2,1,0,0
9.7,4,1,0,0
-10.6,7,0,0,1
-12.8,20,0,1,1
-10.0,1,0,0,1
-12.3,24,0,0,1
-12.2,14,0,1,1
-10.0,1,0,0,1
-11.4,15,0,0,1
9.8,3,1,0,0
10.0,1,1,0,0
9.3,8,1,0,0
-10.6,7,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.7,8,0,0,1
-14.5,46,0,0,1
-16.799999999999994,33,0,4,1
9.7,4,1,0,0
-10.3,4,0,0,1
-10.1,2,0,0,1
-12.2,14,0,1,1
-10.0,1,0,0,1
-13.000000000000002,31,0,0,1
1.8000000000000096,56,1,3,0
10.0,1,1,0,0
-31.20000000000003,87,0,14,1
-10.3,4,0,0,1
-16.899999999999995,43,0,3,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-15.899999999999995,51,0,1,1
-16.29999999999999,46,0,2,1
8.4,8,1,1,0
9.9,2,1,0,0
10.0,1,1,0,0
-10.5,6,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-11.4,15,0,0,1
-10.1,2,0,0,1
9.5,6,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
-13.5,27,0,1,1
9.8,3,1,0,0
10.0,1,1,0,0
-17.199999999999992,46,0,3,1
9.6,5,1,0,0
-10.7,8,0,0,1
-28.90000000000002,109,0,9,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
9.8,3,1,0,0
10.0,1,1,0,0
10.0,1,1,0,0
9.8,3,1,0,0
-11.6,17,0,0,1
-13.100000000000001,32,0,0,1
1.900000000000011,55,1,3,0
10.0,1,1,0,0
9.5,6,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
9.9,2,1,0,0
10.0,1,1,0,0
10.0,1,1,0,0
9.5,6,1,0,0
9.5,6,1,0,0
9.7,4,1,0,0
10.0,1,1,0,0
9.7,4,1,0,0
-10.7,8,0,0,1
-10.0,1,0,0,1
8.299999999999999,18,1,0,0
-10.2,3,0,0,1
-10.0,1,0,0,1
-10.8,9,0,0,1
-10.1,2,0,0,1
9.6,5,1,0,0
9.6,5,1,0,0
-10.3,4,0,0,1
-10.2,3,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.7,8,0,0,1
9.4,7,1,0,0
-10.6,7,0,0,1
-10.3,4,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-12.3,24,0,0,1
