Reward,Length,Success,Collisions,Fires
-12.4,25,0,0,1
-19.39999999999999,59,0,4,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-27.7,133,0,5,1
-10.0,1,0,0,1
-10.1,2,0,0,1
5.100000000000001,41,1,1,0
3.300000000000005,41,1,3,0
-10.0,1,0,0,1
-10.4,5,0,0,1
-10.3,4,0,0,1
-14.399999999999999,27,0,2,1
-10.0,1,0,0,1
-10.3,4,0,0,1
-10.1,2,0,0,1
-11.3,14,0,0,1
-18.499999999999996,50,0,4,1
-5.099999999999973,116,0,4,0
-15.899999999999995,51,0,1,1
-10.2,3,0,0,1
-10.1,2,0,0,1
-10.4,5,0,0,1
-10.3,4,0,0,1
-12.600000000000001,27,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-11.5,16,0,0,1
0.10000000000001208,82,1,2,0
-13.600000000000001,19,0,2,1
-10.1,2,0,0,1
5.8999999999999995,33,1,1,0
-12.3,24,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-20.29999999999999,50,0,6,1
-10.4,5,0,0,1
-3.8999999999999897,68,0,8,0
-20.89999999999998,83,0,3,1
-12.5,26,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
4.000000000000001,25,1,4,0
-10.7,8,0,0,1
-10.0,1,0,0,1
-10.9,10,0,0,1
-7.800000000000015,89,0,10,0
-10.3,4,0,0,1
-12.4,25,0,0,1
-15.899999999999995,51,0,1,1
-29.900000000000013,83,0,13,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-12.200000000000001,23,0,0,1
-13.5,18,0,2,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.2,3,0,0,1
-10.1,2,0,0,1
-13.600000000000001,28,0,1,1
-12.700000000000001,28,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-17.19999999999999,73,0,0,1
-10.2,3,0,0,1
-10.0,1,0,0,1
-15.899999999999995,51,0,1,1
-10.0,1,0,0,1
-14.4,36,0,1,1
-17.199999999999996,37,0,4,1
-10.0,1,0,0,1
-14.100000000000001,42,0,0,1
-10.0,1,0,0,1
-20.099999999999994,48,0,6,1
-10.1,2,0,0,1
4.000000000000002,43,1,2,0
-18.499999999999996,59,0,3,1
-10.5,6,0,0,1
-12.100000000000001,22,0,0,1
-14.399999999999999,27,0,2,1
-10.3,4,0,0,1
-16.89999999999999,70,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.5,6,0,0,1
-10.1,2,0,0,1
-26.099999999999987,90,0,8,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-20.89999999999998,101,0,1,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.2,3,0,0,1
-10.1,2,0,0,1
-10.2,3,0,0,1
-16.699999999999996,32,0,4,1
-10.0,1,0,0,1
0.6000000000000032,59,1,4,0
-15.000000000000002,33,0,2,1
6.6,26,1,1,0
-17.19999999999999,64,0,1,1
-10.4,5,0,0,1
5.8,34,1,1,0
-12.5,26,0,0,1
-10.0,1,0,0,1
-10.5,6,0,0,1
-10.1,2,0,0,1
-12.200000000000038,124,0,11,0
-17.09999999999999,72,0,0,1
-10.0,1,0,0,1
-13.000000000000028,141,0,10,0
-20.09999999999998,102,0,0,1
0.10000000000001741,73,1,3,0
-15.899999999999995,60,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
-16.39999999999999,56,0,1,1
-13.900000000000002,40,0,0,1
-10.2,3,0,0,1
-15.899999999999997,42,0,2,1
-22.89999999999998,103,0,3,1
-2.499999999999986,90,0,4,0
-12.8,20,0,1,1
-10.5,6,0,0,1
-10.3,4,0,0,1
-10.1,2,0,0,1
-10.2,3,0,0,1
-10.5,6,0,0,1
-15.899999999999999,51,0,1,1
-13.200000000000001,24,0,1,1
-10.0,1,0,0,1
-11.4,15,0,0,1
-12.900000000000002,21,0,1,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-12.600000000000001,27,0,0,1
-10.8,9,0,0,1
-13.700000000000003,38,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-15.200000000000017,145,0,12,0
-5.499999999999979,102,0,6,0
-12.700000000000001,28,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-13.3,34,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-11.700000000000001,18,0,0,1
-12.200000000000001,23,0,0,1
-14.700000000000001,30,0,2,1
-10.1,2,0,0,1
-10.5,6,0,0,1
4.400000000000001,30,1,3,0
-0.699999999999994,54,0,6,0
-10.0,1,0,0,1
-10.1,2,0,0,1
-18.599999999999994,42,0,5,1
