Reward,Length,Success,Collisions,Fires
-12.0,21,0,0,1
-10.1,2,0,0,1
-11.9,11,0,1,1
-10.0,1,0,0,1
-8.5,87,0,11,0
-11.700000000000001,18,0,0,1
-10.0,1,0,0,1
-22.099999999999973,95,0,3,1
-10.7,8,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-22.59999999999998,100,0,3,1
-16.099999999999998,53,0,1,1
-12.3,24,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-17.999999999999993,36,0,5,1
-1.1999999999999904,77,0,4,0
-11.3,14,0,0,1
-10.1,2,0,0,1
-10.9,10,0,0,1
-13.3,34,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.3,4,0,0,1
-10.4,5,0,0,1
-10.3,4,0,0,1
-10.7,8,0,0,1
-11.1,12,0,0,1
-10.0,1,0,0,1
-13.800000000000002,39,0,0,1
-10.3,4,0,0,1
-10.0,1,0,0,1
-23.69999999999997,129,0,1,1
-5.099999999999989,62,0,10,0
-12.100000000000001,22,0,0,1
-13.500000000000002,27,0,1,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.5,6,0,0,1
-12.200000000000001,23,0,0,1
-10.4,5,0,0,1
-14.999999999999998,51,0,0,1
-11.1,12,0,0,1
-10.1,2,0,0,1
-13.3,25,0,1,1
-10.9,10,0,0,1
-10.5,6,0,0,1
-11.9,20,0,0,1
-10.0,1,0,0,1
-6.599999999999984,113,0,6,0
-15.199999999999998,53,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.6,7,0,0,1
-10.1,2,0,0,1
0.7000000000000046,40,1,6,0
-10.4,5,0,0,1
-14.3,44,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
4.9,25,1,3,0
-10.6,7,0,0,1
-10.0,1,0,0,1
-10.2,3,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
1.8000000000000096,38,1,5,0
-10.5,6,0,0,1
-10.4,5,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-14.399999999999999,18,0,3,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-11.1,12,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.2,3,0,0,1
-10.7,8,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-1.8999999999999861,66,0,6,0
-11.700000000000001,18,0,0,1
-14.3,44,0,0,1
-10.9,10,0,0,1
-10.2,3,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.5,6,0,0,1
-8.599999999999987,115,0,8,0
-12.3,24,0,0,1
-10.4,5,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.3,4,0,0,1
-11.3,14,0,0,1
-14.3,35,0,1,1
-13.100000000000023,178,0,6,0
-4.6999999999999655,121,0,3,0
1.4000000000000075,60,1,3,0
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.9,10,0,0,1
3.3000000000000043,59,1,1,0
-3.1999999999999904,61,0,8,0
-15.699999999999996,49,0,1,1
-10.0,1,0,0,1
-11.8,19,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
-18.899999999999984,63,0,3,1
-11.700000000000001,18,0,0,1
-10.2,3,0,0,1
-11.1,12,0,0,1
-10.3,4,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-15.099999999999998,52,0,0,1
-10.7,8,0,0,1
-10.0,1,0,0,1
-11.3,14,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-2.899999999999997,49,0,9,0
-5.6999999999999815,86,0,8,0
-11.1,12,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
-10.3,4,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-18.599999999999987,60,0,3,1
-10.0,1,0,0,1
-15.799999999999997,32,0,3,1
-10.1,2,0,0,1
-10.3,4,0,0,1
-10.1,2,0,0,1
-10.1,2,0,0,1
-5.799999999999974,105,0,6,0
-14.100000000000001,33,0,1,1
0.9000000000000039,38,1,6,0
-21.599999999999987,81,0,4,1
-18.29999999999999,48,0,4,1
-17.999999999999986,72,0,1,1
-2.29999999999999,70,0,6,0
-10.7,8,0,0,1
-10.3,4,0,0,1
-10.1,2,0,0,1
-11.4,15,0,0,1
-10.1,2,0,0,1
-0.5999999999999943,53,0,6,0
-14.799999999999997,31,0,2,1
-23.299999999999983,89,0,5,1
-10.3,4,0,0,1
-10.1,2,0,0,1
2.2000000000000046,52,1,3,0
-26.899999999999974,161,0,1,1
3.000000000000007,35,1,4,0
-12.8,29,0,0,1
-19.299999999999983,94,0,0,1
-12.700000000000001,28,0,0,1
-10.6,7,0,0,1
-10.5,6,0,0,1
-17.599999999999987,77,0,0,1
-10.3,4,0,0,1
-10.1,2,0,0,1
-12.700000000000001,28,0,0,1
-10.0,1,0,0,1
-10.0,1,0,0,1
-10.1,2,0,0,1
-10.0,1,0,0,1
