Reward,Length,Success,Collisions,Fires
9,11,1,1,0
-10,18,0,0,1
10,74,1,0,0
9,21,1,1,0
-11,46,0,1,1
-13,124,0,3,1
10,22,1,0,0
-10,4,0,0,1
-14,66,0,4,1
7,75,1,3,0
-11,65,0,1,1
-11,16,0,1,1
8,24,1,2,0
9,27,1,1,0
10,29,1,0,0
-10,18,0,0,1
-11,96,0,1,1
-10,9,0,0,1
8,24,1,2,0
-10,2,0,0,1
-10,8,0,0,1
-20,200,0,20,0
-12,61,0,2,1
-10,25,0,0,1
10,2,1,0,0
-11,15,0,1,1
10,30,1,0,0
8,27,1,2,0
10,12,1,0,0
-10,17,0,0,1
6,106,1,4,0
-13,30,0,3,1
-10,9,0,0,1
-10,6,0,0,1
-10,6,0,0,1
10,15,1,0,0
8,113,1,2,0
-10,8,0,0,1
-10,55,0,0,1
-12,33,0,2,1
-14,34,0,4,1
-11,36,0,1,1
-10,20,0,0,1
8,23,1,2,0
10,26,1,0,0
-10,4,0,0,1
-14,40,0,4,1
-10,14,0,0,1
10,40,1,0,0
-12,27,0,2,1
-10,2,0,0,1
-10,39,0,0,1
-10,6,0,0,1
-10,15,0,0,1
-12,22,0,2,1
10,15,1,0,0
-16,44,0,6,1
-10,7,0,0,1
-6,200,0,6,0
10,16,1,0,0
8,45,1,2,0
7,64,1,3,0
10,3,1,0,0
-12,24,0,2,1
10,5,1,0,0
-10,9,0,0,1
-10,1,0,0,1
10,3,1,0,0
-10,4,0,0,1
-12,63,0,2,1
5,33,1,5,0
-3,180,0,13,0
-11,26,0,1,1
8,7,1,2,0
8,26,1,2,0
-11,171,0,21,0
-10,12,0,0,1
-10,20,0,0,1
8,50,1,2,0
-10,8,0,0,1
8,67,1,2,0
-10,17,0,0,1
-10,27,0,0,1
-11,52,0,1,1
10,36,1,0,0
-11,29,0,1,1
-10,3,0,0,1
-13,65,0,3,1
-10,12,0,0,1
-10,11,0,0,1
10,1,1,0,0
-10,21,0,0,1
8,13,1,2,0
-12,15,0,2,1
-10,10,0,0,1
5,37,1,5,0
10,33,1,0,0
7,55,1,3,0
10,7,1,0,0
-10,85,0,0,1
4,80,1,6,0
-10,6,0,0,1
10,12,1,0,0
10,46,1,0,0
-10,3,0,0,1
-11,39,0,1,1
10,25,1,0,0
-10,34,0,0,1
4,103,1,6,0
-10,1,0,0,1
-17,100,0,7,1
9,41,1,1,0
-10,2,0,0,1
-11,18,0,1,1
10,30,1,0,0
-11,96,0,21,0
-10,21,0,0,1
-10,7,0,0,1
9,13,1,1,0
-14,54,0,4,1
9,9,1,1,0
-13,26,0,3,1
-10,9,0,0,1
-11,17,0,1,1
-10,1,0,0,1
-11,25,0,1,1
-11,23,0,1,1
-12,37,0,2,1
-10,14,0,0,1
-10,15,0,0,1
-13,34,0,3,1
-10,6,0,0,1
10,6,1,0,0
-10,8,0,0,1
-10,21,0,0,1
-10,13,0,0,1
